num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp_num,image,image_alt,left_img,right_img,image_dir,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp1_trial_cross.started,exp1_trial_key.started,exp1_trial_cross.stopped,exp1_trial_sound.started,exp1_trial_key.keys,exp1_trial_key.rt,exp1_cross.started,exp1_key.started,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp1_cross.stopped,exp2_trial_cross.started,exp2_trial_key.started,exp2_trial_cross.stopped,exp2_trial_sound.started,participant,session,date,expName,psychopyVersion,frameRate,
90.0,l1,f,sp,na,../audio/090.wav,,l1_f_sp_na_090,,,,,,,../image/bag.png,../image/bottle.png,bag,lshift,1,bag,bottle,bag,bottle,None,,,,,,,,,0,40,40,29,,,,,,,,,,,,,,,41.91503949998878,42.13470345805399,lshift,1,0.3399053340544924,42.151060500065796,,,,,748226,001,2023-08-16_12h00.01.038,exp_g1,2022.2.5,None,
67.0,l1,f,en,na,../audio/067.wav,,l1_f_en_na_067,,,,,,,../image/beer.png,../image/glasses.png,glasses,rshift,1,glasses,beer,beer,glasses,None,,,,,,,,,0,41,41,6,,,,,,,,,,,,,,,42.51556645799428,42.73084733297583,rshift,1,0.25842829199973494,42.764416499994695,,,,,748226,001,2023-08-16_12h00.01.038,exp_g1,2022.2.5,None,
136.0,l1,t,es,f0u,../audio/136.wav,,l1_t_es_f0u_136,,,,,,,../image/city.png,../image/village.png,village,rshift,1,village,city,city,village,None,,,,,,,,,0,42,42,50,,,,,,,,,,,,,,,43.03533620806411,43.23420000006445,lshift,0,0.3266828340711072,43.28154716605786,,,,,748226,001,2023-08-16_12h00.01.038,exp_g1,2022.2.5,None,
135.0,l1,t,es,f0u,../audio/135.wav,,l1_t_es_f0u_135,,,,,,,../image/flipflops.png,../image/flower.png,flipflops,lshift,1,flipflops,flower,flipflops,flower,None,,,,,,,,,0,43,43,49,,,,,,,,,,,,,,,43.59898070804775,43.80129779106937,rshift,0,0.19935875001829118,43.83379150007386,,,,,748226,001,2023-08-16_12h00.01.038,exp_g1,2022.2.5,None,
80.0,l1,f,se,na,../audio/080.wav,,l1_f_se_na_080,,,,,,,../image/mouse.png,../image/rat.png,mouse,lshift,1,mouse,rat,mouse,rat,None,,,,,,,,,0,44,44,19,,,,,,,,,,,,,,,44.0469937910093,44.25044395797886,lshift,1,0.20670300000347197,44.28422762500122,,,,,748226,001,2023-08-16_12h00.01.038,exp_g1,2022.2.5,None,
138.0,l1,t,es,f0u,../audio/138.wav,,l1_t_es_f0u_138,,,,,,,../image/pants.png,../image/shirt.png,shirt,rshift,1,shirt,pants,pants,shirt,None,,,,,,,,,0,45,45,52,,,,,,,,,,,,,,,44.50100899999961,44.714823915972374,rshift,1,0.05224700004328042,44.7481545410119,,,,,748226,001,2023-08-16_12h00.01.038,exp_g1,2022.2.5,None,
85.0,l1,f,se,na,../audio/085.wav,,l1_f_se_na_085,,,,,,,../image/loafers.png,../image/sneakers.png,sneakers,rshift,1,sneakers,loafers,loafers,sneakers,None,,,,,,,,,0,46,46,24,,,,,,,,,,,,,,,44.81118958303705,45.014754333067685,lshift,0,-0.021630417089909315,,,,,,748226,001,2023-08-16_12h00.01.038,exp_g1,2022.2.5,None,
15.0,l1,t,es,na,../audio/015.wav,,l1_t_es_na_015,,,,,,,../image/glasses.png,../image/jacket.png,glasses,lshift,1,glasses,jacket,glasses,jacket,None,,,,,,,,,0,47,47,39,,,,,,,,,,,,,,,45.04558983305469,45.263862875057384,rshift,0,-0.09686466597486287,,,,,,748226,001,2023-08-16_12h00.01.038,exp_g1,2022.2.5,None,
19.0,l1,t,es,na,../audio/019.wav,,l1_t_es_na_019,,,,,,,../image/boy.png,../image/dog.png,boy,lshift,1,boy,dog,boy,dog,None,,,,,,,,,0,48,48,43,,,,,,,,,,,,,,,45.28765562502667,45.500846249982715,lshift,1,-0.17268979107029736,,,,,,748226,001,2023-08-16_12h00.01.038,exp_g1,2022.2.5,None,
69.0,l1,f,en,na,../audio/069.wav,,l1_f_en_na_069,,,,,,,../image/bag.png,../image/shirt.png,shirt,rshift,1,shirt,bag,bag,shirt,None,,,,,,,,,0,49,49,8,,,,,,,,,,,,,,,45.52948191598989,45.74818329105619,lshift,0,-0.16782674996647984,,,,,,748226,001,2023-08-16_12h00.01.038,exp_g1,2022.2.5,None,
70.0,l1,f,en,na,../audio/070.wav,,l1_f_en_na_070,,,,,,,../image/computer.png,../image/bed.png,computer,lshift,1,computer,bed,computer,bed,None,,,,,,,,,0,50,50,9,,,,,,,,,,,,,,,45.78621024999302,45.99728887504898,lshift,1,-0.18692349991761148,,,,,,748226,001,2023-08-16_12h00.01.038,exp_g1,2022.2.5,None,
68.0,l1,f,en,na,../audio/068.wav,,l1_f_en_na_068,,,,,,,../image/socks.png,../image/book.png,socks,lshift,1,socks,book,socks,book,None,,,,,,,,,0,51,51,7,,,,,,,,,,,,,,,46.02668000000995,46.23573820805177,lshift,1,-0.22125158307608217,,,,,,748226,001,2023-08-16_12h00.01.038,exp_g1,2022.2.5,None,
93.0,l1,f,sp,na,../audio/093.wav,,l1_f_sp_na_093,,,,,,,../image/boy.png,../image/book.png,book,rshift,1,book,boy,boy,book,None,,,,,,,,,0,52,52,32,,,,,,,,,,,,,,,46.2661810410209,46.484195332974195,rshift,1,-0.18020920897834003,,,,,,748226,001,2023-08-16_12h00.01.038,exp_g1,2022.2.5,None,
