participant,session,date,expName,psychopyVersion,OS,frameRate,exp1_trial_key.keys,exp1_trial_key.rt,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_trial_loop.ran,num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp1_loop.ran,exp_num,image,image_alt,left_img,right_img,image_dir,exp2_trial_key.keys,exp2_trial_key.rt,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_retrial.ran,exp2_key.keys,exp2_key.rt,exp2_loop.thisRepN,exp2_loop.thisTrialN,exp2_loop.thisN,exp2_loop.thisIndex,exp2_loop.ran,cs
new_stim_1,001,2023-10-11_20h59.03.187,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new_stim_1,001,2023-10-11_20h59.03.187,exp_g1,2022.2.5,MacIntel,60.0024001,"[""lshift""]",[0.4136000000238411],0,0,0,0,1,tr1,lt,tr,en,na,practice_trial/audio/tr1.wav,Where are your kids?,lt_tr_en_na_tr1,-,-,-,-,-,-,image/kids.png,image/plates.png,kids,lshift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new_stim_1,001,2023-10-11_20h59.03.187,exp_g1,2022.2.5,MacIntel,60.0024001,"[""rshift""]",[0.26510000002383904],0,1,1,1,1,tr2,lt,tr,en,na,practice_trial/audio/tr2.wav,Who is buying my car?,lt_tr_en_na_tr2,-,-,-,-,-,-,image/bag.png,image/car.png,car,rshift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new_stim_1,001,2023-10-11_20h59.03.187,exp_g1,2022.2.5,MacIntel,60.0024001,"[""lshift""]",[0.1863000000119186],0,2,2,2,1,tr3,lt,tr,sp,na,practice_trial/audio/tr3.wav,¿Dónde está mi perro?,lt_tr_sp_na_tr3,-,-,-,-,-,-,image/dog.png,image/grandma.png,dog,lshift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new_stim_1,001,2023-10-11_20h59.03.187,exp_g1,2022.2.5,MacIntel,60.0024001,"[""rshift""]",[0.1805999999642367],0,3,3,3,1,tr4,lt,tr,sp,na,practice_trial/audio/tr4.wav,¿De quién es la bolsa?,lt_tr_sp_na_tr4,-,-,-,-,-,-,image/shirt.png,image/bag.png,bag,rshift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new_stim_1,001,2023-10-11_20h59.03.187,exp_g1,2022.2.5,MacIntel,60.0024001,"[""lshift""]",[0.1561000000238444],0,4,4,4,1,tr5,lt,tr,se,na,practice_trial/audio/tr5.wav,¿Dónde encontraste sus donuts?,lt_tr_se_na_tr5,-,-,-,-,-,-,image/donut.png,image/cups.png,donut,lshift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new_stim_1,001,2023-10-11_20h59.03.187,exp_g1,2022.2.5,MacIntel,60.0024001,"[""rshift""]",[0.20360000002384382],0,5,5,5,1,tr6,lt,tr,se,na,practice_trial/audio/tr6.wav,¿Cuándo compraste tu sweater?,lt_tr_se_na_tr6,-,-,-,-,-,-,image/chair.png,image/sweater.png,sweater,rshift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new_stim_1,001,2023-10-11_20h59.03.187,exp_g1,2022.2.5,MacIntel,60.0024001,"[""lshift""]",[0.10000000000000142],0,6,6,6,1,tr7,lt,tr,es,na,practice_trial/audio/tr7.wav,Why do you have my camisa?,lt_tr_es_na_tr7,-,-,-,-,-,-,image/shirt.png,image/wallet.png,shirt,lshift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new_stim_1,001,2023-10-11_20h59.03.187,exp_g1,2022.2.5,MacIntel,60.0024001,"[""rshift""]",[0.15889999997616044],0,7,7,7,1,tr8,lt,tr,es,na,practice_trial/audio/tr8.wav,Where did you find his chanclas?,lt_tr_es_na_tr8,-,-,-,-,-,-,image/key.png,image/flipflops.png,flipflops,rshift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new_stim_1,001,2023-10-11_20h59.03.187,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
