participant,session,date,expName,psychopyVersion,OS,frameRate,exp1_trial_key.keys,exp1_trial_key.rt,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_trial_loop.ran,num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp1_loop.ran,exp_num,image,image_alt,left_img,right_img,image_dir,exp2_trial_key.keys,exp2_trial_key.rt,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_retrial.ran,exp2_key.keys,exp2_key.rt,exp2_loop.thisRepN,exp2_loop.thisTrialN,exp2_loop.thisN,exp2_loop.thisIndex,exp2_loop.ran,cs
21,1,2023-09-05_18h32.55.031,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,69,l1,f,en,na,audio/069.wav,,l1_f_en_na_069,,,,,,,image/bag.png,image/shirt.png,shirt,rshift,rshift,1,2.0937,0,54,54,8,1,1,shirt,bag,bag,shirt,,,,,,,,,,,,,,,,
21,1,2023-09-05_18h32.55.031,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1,2023-09-05_18h32.55.031,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""lshift"",""rshift""]","[1.476799999952334,1.9112999999522913]",0,0,0,0,1,,,,,,,,
21,1,2023-09-05_18h32.55.031,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""lshift"",""rshift""]","[1.2684999999999604,2.1339999999999577]",1,0,1,0,1,,,,,,,,
21,1,2023-09-05_18h32.55.031,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1,2023-09-05_18h32.55.031,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,116,l2,f,se,na,audio/116.wav,,l2_f_se_na_116,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift"",""rshift""]","[1.0765999999642304,2.2986999999880595]",0,0,0,20,1,1
21,1,2023-09-05_18h32.55.031,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,166,l2,t,es,f0c,audio/166.wav,,l2_t_es_f0c_166,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift"",""rshift""]","[1.2836000000238528,2.9517000000477083]",0,1,1,50,1,1
21,1,2023-09-05_18h32.55.031,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,108,l2,f,en,na,audio/108.wav,,l2_f_en_na_108,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift""]",[1.3015000000000327],0,2,2,12,1,
21,1,2023-09-05_18h32.55.031,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,29,l2,t,es,na,audio/029.wav,,l2_t_es_na_029,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift"",""rshift""]","[1.2666000000238569,2.452400000035766]",0,3,3,43,1,1
21,1,2023-09-05_18h32.55.031,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,101,l2,f,en,na,audio/101.wav,,l2_f_en_na_101,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift""]",[1.3920999999642731],0,4,4,5,1,
21,1,2023-09-05_18h32.55.031,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,123,l2,f,sp,na,audio/123.wav,,l2_f_sp_na_123,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""rshift"",""lshift""]","[1.2193999999761331,1.9138000000119177]",0,5,5,27,1,
21,1,2023-09-05_18h32.55.031,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,97,l2,f,en,na,audio/097.wav,,l2_f_en_na_097,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift""]",[1.4343000000119446],0,6,6,1,1,
21,1,2023-09-05_18h32.55.031,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,21,l2,t,es,na,audio/021.wav,,l2_t_es_na_021,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift"",""rshift""]","[1.547200000047667,2.0020000000000095]",0,7,7,35,1,1
21,1,2023-09-05_18h32.55.031,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,22,l2,t,es,na,audio/022.wav,,l2_t_es_na_022,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift"",""rshift""]","[1.458100000023876,2.169899999976167]",0,8,8,36,1,1
21,1,2023-09-05_18h32.55.031,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,102,l2,f,en,na,audio/102.wav,,l2_f_en_na_102,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift"",""rshift"",""lshift""]","[1.3666999999881,2.1901999999880672,3.0068000000119355]",0,9,9,6,1,
21,1,2023-09-05_18h32.55.031,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,104,l2,f,en,na,audio/104.wav,,l2_f_en_na_104,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift"",""lshift""]","[1.1434999999999604,1.8328000000119005]",0,10,10,8,1,
21,1,2023-09-05_18h32.55.031,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,169,l2,t,es,f0c,audio/169.wav,,l2_t_es_f0c_169,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""rshift"",""lshift"",""lshift"",""rshift""]","[1.2061999999880868,1.8071000000238655,2.242600000023856,3.1916000000238682]",0,11,11,53,1,1
