participant,session,date,expName,psychopyVersion,OS,frameRate,exp1_trial_key.keys,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_trial_loop.ran,num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp1_trial_key.rt,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp1_loop.ran,exp_num,image,image_alt,left_img,right_img,image_dir,exp2_trial_key.keys,exp2_trial_key.rt,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp2_trial_loop.ran,exp2_key.keys,exp2_key.rt,exp2_loop.thisRepN,exp2_loop.thisTrialN,exp2_loop.thisN,exp2_loop.thisIndex,exp2_loop.ran,cs
054,001,2023-10-12_12h40.24.192,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,081,l1,f,se,na,audio/081.wav,,l1_f_se_na_081,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""rshift"",""lshift""]","[1.57100000000014,2.7492999999999483]",0,38,38,20,1,1
054,001,2023-10-12_12h40.24.192,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,092,l1,f,sp,na,audio/092.wav,,l1_f_sp_na_092,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""rshift""]",[1.9002999999997883],0,39,39,31,1,
054,001,2023-10-12_12h40.24.192,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,071,l1,f,en,na,audio/071.wav,,l1_f_en_na_071,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""rshift"",""lshift"",""lshift""]","[1.5585000000000946,1.788599999999633,2.4572000000002845]",0,40,40,10,1,
054,001,2023-10-12_12h40.24.192,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,149,l2,t,es,f0u,audio/149.wav,,l2_t_es_f0u_149,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift"",""rshift""]","[2.001299999999901,2.8177000000002863]",0,41,41,53,1,1
054,001,2023-10-12_12h40.24.192,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,093,l1,f,sp,na,audio/093.wav,,l1_f_sp_na_093,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""rshift""]",[1.6014000000004671],0,42,42,32,1,
054,001,2023-10-12_12h40.24.192,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,079,l1,f,se,na,audio/079.wav,,l1_f_se_na_079,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""rshift""]",[2.433999999999969],0,43,43,18,1,1
054,001,2023-10-12_12h40.24.192,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,144,l2,t,es,f0u,audio/144.wav,,l2_t_es_f0u_144,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift"",""rshift""]","[2.407799999999952,2.699000000000069]",0,44,44,48,1,1
054,001,2023-10-12_12h40.24.192,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,150,l2,t,es,f0u,audio/150.wav,,l2_t_es_f0u_150,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift"",""rshift""]","[1.4351000000006024,2.287600000000566]",0,45,45,54,1,1
054,001,2023-10-12_12h40.24.192,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,072,l1,f,en,na,audio/072.wav,,l1_f_en_na_072,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift""]",[1.7497999999998228],0,46,46,11,1,
054,001,2023-10-12_12h40.24.192,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,076,l1,f,se,na,audio/076.wav,,l1_f_se_na_076,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""rshift""]",[2.311000000000149],0,47,47,15,1,1
054,001,2023-10-12_12h40.24.192,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,068,l1,f,en,na,audio/068.wav,,l1_f_en_na_068,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift""]",[2.305899999999383],0,48,48,7,1,
054,001,2023-10-12_12h40.24.192,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,082,l1,f,se,na,audio/082.wav,,l1_f_se_na_082,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""rshift""]",[1.5170000000000528],0,49,49,21,1,1
054,001,2023-10-12_12h40.24.192,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,020,l1,t,es,na,audio/020.wav,,l1_t_es_na_020,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift""]",[1.5718999999994594],0,50,50,44,1,1
054,001,2023-10-12_12h40.24.192,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,091,l1,f,sp,na,audio/091.wav,,l1_f_sp_na_091,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""rshift""]",[2.48279999999977],0,51,51,30,1,
054,001,2023-10-12_12h40.24.192,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,064,l1,f,en,na,audio/064.wav,,l1_f_en_na_064,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift""]",[2.23490000000038],0,52,52,3,1,
054,001,2023-10-12_12h40.24.192,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,017,l1,t,es,na,audio/017.wav,,l1_t_es_na_017,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift"",""rshift""]","[1.8836000000005697,2.6491000000005442]",0,53,53,41,1,1
