participant,session,date,expName,psychopyVersion,OS,frameRate,exp1_trial_key.keys,exp1_trial_key.rt,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_trial_loop.ran,num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp1_loop.ran,exp_num,image,image_alt,left_img,right_img,image_dir,exp2_trial_key.keys,exp2_trial_key.rt,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp2_trial_loop.ran,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_retrial.ran,exp2_key.keys,exp2_key.rt,exp2_loop.thisRepN,exp2_loop.thisTrialN,exp2_loop.thisN,exp2_loop.thisIndex,exp2_loop.ran,cs
067,001,2023-10-18_16h58.16.959,exp_g2,2022.2.5,Win32,60.24459305,,,,,,,,128,l2,f,sp,na,audio/128.wav,,l2_f_sp_na_128,,,,,,,image/cups.png,image/kids.png,kids,rshift,lshift,0,2.9897,0,0,0,32,1,1,kids,cups,cups,kids,,,,,,,,,,,,,,,,,,,,,
067,001,2023-10-18_16h58.16.959,exp_g2,2022.2.5,Win32,60.24459305,,,,,,,,130,l2,f,sp,na,audio/130.wav,,l2_f_sp_na_130,,,,,,,image/socks.png,image/glasses.png,glasses,rshift,lshift,0,3.319,0,1,1,34,1,1,glasses,socks,socks,glasses,,,,,,,,,,,,,,,,,,,,,
067,001,2023-10-18_16h58.16.959,exp_g2,2022.2.5,Win32,60.24459305,,,,,,,,127,l2,f,sp,na,audio/127.wav,,l2_f_sp_na_127,,,,,,,image/cat.png,image/dog.png,cat,lshift,lshift,1,3.7156,0,2,2,31,1,1,cat,dog,cat,dog,,,,,,,,,,,,,,,,,,,,,
067,001,2023-10-18_16h58.16.959,exp_g2,2022.2.5,Win32,60.24459305,,,,,,,,113,l2,f,se,na,audio/113.wav,,l2_f_se_na_113,,,,,,,image/loafers.png,image/sneakers.png,loafers,lshift,lshift,1,2.4681,0,3,3,17,1,1,loafers,sneakers,loafers,sneakers,,,,,,,,,,,,,,,,,,,,,
067,001,2023-10-18_16h58.16.959,exp_g2,2022.2.5,Win32,60.24459305,,,,,,,,114,l2,f,se,na,audio/114.wav,,l2_f_se_na_114,,,,,,,image/jeans.png,image/sweatpants.png,sweatpants,rshift,lshift,0,2.5175,0,4,4,18,1,1,sweatpants,jeans,jeans,sweatpants,,,,,,,,,,,,,,,,,,,,,
067,001,2023-10-18_16h58.16.959,exp_g2,2022.2.5,Win32,60.24459305,,,,,,,,153,l1,t,es,f0c,audio/153.wav,,l1_t_es_f0c_153,,,,,,,image/cellphone.png,image/book.png,cellphone,lshift,,0,,0,5,5,47,1,1,cellphone,book,cellphone,book,,,,,,,,,,,,,,,,,,,,,
067,001,2023-10-18_16h58.16.959,exp_g2,2022.2.5,Win32,60.24459305,,,,,,,,026,l2,t,es,na,audio/026.wav,,l2_t_es_na_026,,,,,,,image/village.png,image/grandma.png,grandma,rshift,,0,,0,6,6,40,1,1,grandma,village,village,grandma,,,,,,,,,,,,,,,,,,,,,
067,001,2023-10-18_16h58.16.959,exp_g2,2022.2.5,Win32,60.24459305,,,,,,,,158,l1,t,es,f0c,audio/158.wav,,l1_t_es_f0c_158,,,,,,,image/pants.png,image/shirt.png,shirt,rshift,,0,,0,7,7,52,1,1,shirt,pants,pants,shirt,,,,,,,,,,,,,,,,,,,,,
067,001,2023-10-18_16h58.16.959,exp_g2,2022.2.5,Win32,60.24459305,,,,,,,,119,l2,f,se,na,audio/119.wav,,l2_f_se_na_119,,,,,,,image/penthouse.png,image/rocket.png,penthouse,lshift,lshift,1,2.9114,0,8,8,23,1,1,penthouse,rocket,penthouse,rocket,,,,,,,,,,,,,,,,,,,,,
067,001,2023-10-18_16h58.16.959,exp_g2,2022.2.5,Win32,60.24459305,,,,,,,,110,l2,f,en,na,audio/110.wav,,l2_f_en_na_110,,,,,,,image/dog.png,image/cat.png,cat,rshift,rshift,1,2.5811,0,9,9,14,1,1,cat,dog,dog,cat,,,,,,,,,,,,,,,,,,,,,
067,001,2023-10-18_16h58.16.959,exp_g2,2022.2.5,Win32,60.24459305,,,,,,,,123,l2,f,sp,na,audio/123.wav,,l2_f_sp_na_123,,,,,,,image/sweater.png,image/cellphone.png,sweater,lshift,lshift,1,2.4181,0,10,10,27,1,1,sweater,cellphone,sweater,cellphone,,,,,,,,,,,,,,,,,,,,,
067,001,2023-10-18_16h58.16.959,exp_g2,2022.2.5,Win32,60.24459305,,,,,,,,097,l2,f,en,na,audio/097.wav,,l2_f_en_na_097,,,,,,,image/ring.png,image/belt.png,ring,lshift,lshift,1,2.849,0,11,11,1,1,1,ring,belt,ring,belt,,,,,,,,,,,,,,,,,,,,,
067,001,2023-10-18_16h58.16.959,exp_g2,2022.2.5,Win32,60.24459305,,,,,,,,100,l2,f,en,na,audio/100.wav,,l2_f_en_na_100,,,,,,,image/wallet.png,image/scarf.png,scarf,rshift,rshift,1,1.7693,0,12,12,4,1,1,scarf,wallet,wallet,scarf,,,,,,,,,,,,,,,,,,,,,
067,001,2023-10-18_16h58.16.959,exp_g2,2022.2.5,Win32,60.24459305,,,,,,,,104,l2,f,en,na,audio/104.wav,,l2_f_en_na_104,,,,,,,image/shirt.png,image/bag.png,bag,rshift,rshift,1,2.1557,0,13,13,8,1,1,bag,shirt,shirt,bag,,,,,,,,,,,,,,,,,,,,,
067,001,2023-10-18_16h58.16.959,exp_g2,2022.2.5,Win32,60.24459305,,,,,,,,118,l2,f,se,na,audio/118.wav,,l2_f_se_na_118,,,,,,,image/icecream.png,image/donut.png,donut,rshift,rshift,1,2.1548,0,14,14,22,1,1,donut,icecream,icecream,donut,,,,,,,,,,,,,,,,,,,,,
