participant,session,date,expName,psychopyVersion,OS,frameRate,exp1_trial_key.keys,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_trial_loop.ran,num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_retrial.ran,exp1_trial_key.rt,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp1_loop.ran,exp_num,image,image_alt,left_img,right_img,image_dir,exp2_trial_key.keys,exp2_trial_key.rt,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp2_trial_loop.ran,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_retrial.ran,exp2_key.keys,exp2_key.rt,exp2_loop.thisRepN,exp2_loop.thisTrialN,exp2_loop.thisN,exp2_loop.thisIndex,exp2_loop.ran,cs
058,001,2023-12-05_12h34.48.825,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,093,l1,f,sp,na,audio/093.wav,,l1_f_sp_na_093,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""rshift""]",[1.8812000000029911],0,31,31,32,1,
058,001,2023-12-05_12h34.48.825,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,069,l1,f,en,na,audio/069.wav,,l1_f_en_na_069,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""lshift""]",[1.7312999999969634],0,32,32,8,1,
058,001,2023-12-05_12h34.48.825,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,070,l1,f,en,na,audio/070.wav,,l1_f_en_na_070,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""lshift""]",[2.0466999999955533],0,33,33,9,1,
058,001,2023-12-05_12h34.48.825,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,144,l2,t,es,f0u,audio/144.wav,,l2_t_es_f0u_144,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""lshift"",""rshift""]","[1.8973999999984699,2.415200000002983]",0,34,34,48,1,1
058,001,2023-12-05_12h34.48.825,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,083,l1,f,se,na,audio/083.wav,,l1_f_se_na_083,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""rshift"",""lshift"",""rshift""]","[2.364300000004505,2.8318000000044776,3.1875]",0,35,35,22,1,1
058,001,2023-12-05_12h34.48.825,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,074,l1,f,en,na,audio/074.wav,,l1_f_en_na_074,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""lshift""]",[1.3008999999985917],0,36,36,13,1,
058,001,2023-12-05_12h34.48.825,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,073,l1,f,en,na,audio/073.wav,,l1_f_en_na_073,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""lshift""]",[1.3507999999970934],0,37,37,12,1,
058,001,2023-12-05_12h34.48.825,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,016,l1,t,es,na,audio/016.wav,,l1_t_es_na_016,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""lshift"",""rshift""]","[1.510499999999979,3.2525000000000546]",0,38,38,40,1,1
058,001,2023-12-05_12h34.48.825,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,078,l1,f,se,na,audio/078.wav,,l1_f_se_na_078,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""rshift"",""lshift""]","[1.754299999996988,2.4032000000029257]",0,39,39,17,1,1
058,001,2023-12-05_12h34.48.825,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,082,l1,f,se,na,audio/082.wav,,l1_f_se_na_082,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""rshift""]",[1.698799999996936],0,40,40,21,1,1
