participant,session,date,expName,psychopyVersion,OS,frameRate,exp1_trial_key.keys,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_trial_loop.ran,num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp1_trial_key.rt,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp1_loop.ran,exp_num,image,image_alt,left_img,right_img,image_dir,exp2_trial_key.keys,exp2_trial_key.rt,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp2_trial_loop.ran,exp2_key.keys,exp2_key.rt,exp2_loop.thisRepN,exp2_loop.thisTrialN,exp2_loop.thisN,exp2_loop.thisIndex,exp2_loop.ran,cs
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,104,l2,f,en,na,audio/104.wav,,l2_f_en_na_104,,,,,,,image/shirt.png,image/bag.png,bag,rshift,,rshift,1,1.7831,0,34,34,8,1,1,bag,shirt,shirt,bag,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,028,l2,t,es,na,audio/028.wav,,l2_t_es_na_028,,,,,,,image/pants.png,image/glasses.png,glasses,rshift,,rshift,1,3.0101,0,35,35,42,1,1,glasses,pants,pants,glasses,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,106,l2,f,en,na,audio/106.wav,,l2_f_en_na_106,,,,,,,image/wallet.png,image/computer.png,computer,rshift,,rshift,1,2.7429,0,36,36,10,1,1,computer,wallet,wallet,computer,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,157,l1,t,es,f0c,audio/157.wav,,l1_t_es_f0c_157,,,,,,,image/jacket.png,image/shirt.png,jacket,lshift,,lshift,1,2.1202,0,37,37,51,1,1,jacket,shirt,jacket,shirt,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,124,l2,f,sp,na,audio/124.wav,,l2_f_sp_na_124,,,,,,,image/bag.png,image/bed.png,bed,rshift,,rshift,1,2.2503,0,38,38,28,1,1,bed,bag,bag,bed,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,154,l1,t,es,f0c,audio/154.wav,,l1_t_es_f0c_154,,,,,,,image/basket.png,image/truck.png,truck,rshift,,lshift,0,2.9861,0,39,39,48,1,1,truck,basket,basket,truck,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,110,l2,f,en,na,audio/110.wav,,l2_f_en_na_110,,,,,,,image/dog.png,image/cat.png,cat,rshift,,rshift,1,2.2648,0,40,40,14,1,1,cat,dog,dog,cat,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,122,l2,f,sp,na,audio/122.wav,,l2_f_sp_na_122,,,,,,,image/desk.png,image/chair.png,chair,rshift,,rshift,1,2.5271,0,41,41,26,1,1,chair,desk,desk,chair,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,098,l2,f,en,na,audio/098.wav,,l2_f_en_na_098,,,,,,,image/man.png,image/woman.png,woman,rshift,,rshift,1,2.0228,0,42,42,2,1,1,woman,man,man,woman,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,022,l2,t,es,na,audio/022.wav,,l2_t_es_na_022,,,,,,,image/dog.png,image/cat.png,cat,rshift,,rshift,1,2.353,0,43,43,36,1,1,cat,dog,dog,cat,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,160,l1,t,es,f0c,audio/160.wav,,l1_t_es_f0c_160,,,,,,,image/ring.png,image/bracelet.png,bracelet,rshift,,rshift,1,3.0168,0,44,44,54,1,1,bracelet,ring,ring,bracelet,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,030,l2,t,es,na,audio/030.wav,,l2_t_es_na_030,,,,,,,image/flipflops.png,image/boy.png,boy,rshift,,rshift,1,2.6326,0,45,45,44,1,1,boy,flipflops,flipflops,boy,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,024,l2,t,es,na,audio/024.wav,,l2_t_es_na_024,,,,,,,image/bed.png,image/jug.png,jug,rshift,,rshift,1,2.9391,0,46,46,38,1,1,jug,bed,bed,jug,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,105,l2,f,en,na,audio/105.wav,,l2_f_en_na_105,,,,,,,image/bed.png,image/plane.png,bed,lshift,,lshift,1,2.4205,0,47,47,9,1,1,bed,plane,bed,plane,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,127,l2,f,sp,na,audio/127.wav,,l2_f_sp_na_127,,,,,,,image/cat.png,image/dog.png,cat,lshift,,rshift,0,2.9477,0,48,48,31,1,1,cat,dog,cat,dog,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,096,l2,f,en,na,audio/096.wav,,l2_f_en_na_096,,,,,,,image/woman.png,image/cat.png,cat,rshift,,rshift,1,1.8355,0,49,49,0,1,1,cat,woman,woman,cat,../image/,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,123,l2,f,sp,na,audio/123.wav,,l2_f_sp_na_123,,,,,,,image/sweater.png,image/cellphone.png,sweater,lshift,,lshift,1,1.911,0,50,50,27,1,1,sweater,cellphone,sweater,cellphone,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,130,l2,f,sp,na,audio/130.wav,,l2_f_sp_na_130,,,,,,,image/socks.png,image/glasses.png,glasses,rshift,,rshift,1,2.1501,0,51,51,34,1,1,glasses,socks,socks,glasses,,,,,,,,,,,,,,,,
