num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp_num,image,image_alt,left_img,right_img,image_dir,cs,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp2_loop.thisRepN,exp2_loop.thisTrialN,exp2_loop.thisN,exp2_loop.thisIndex,exp1_trial_cross.started,exp1_trial_key.started,exp1_trial_cross.stopped,exp1_trial_sound.started,exp1_trial_key.keys,exp1_trial_key.rt,exp1_cross.started,exp1_key.started,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp1_cross.stopped,exp1_sound.started,exp2_trial_cross.started,exp2_trial_key.started,exp2_trial_cross.stopped,exp2_trial_sound.started,exp2_trial_key.stopped,exp2_trial_key.keys,exp2_trial_key.rt,exp2_cross.started,exp2_key.started,exp2_cross.stopped,exp2_sound.started,exp2_key.stopped,exp2_key.keys,exp2_key.rt,participant,session,date,expName,psychopyVersion,frameRate,
tr5,lt,tr,se,na,../practice_trial/audio/tr5.wav,¿Dónde encontraste sus donuts?,lt_tr_se_na_tr5,-,-,-,-,-,-,../image/america.png,../image/spain.png,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,224.64340095804073,224.88345162500627,224.88345162500627,225.63598637463681,229.9065915000392,['rshift'],[2.3692921668989584],,,,,,,,070,001,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None,
tr6,lt,tr,se,na,../practice_trial/audio/tr6.wav,¿Cuándo compraste tu sweater?,lt_tr_se_na_tr6,-,-,-,-,-,-,../image/america.png,../image/spain.png,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,229.9065915000392,230.1286390000023,230.15196725004353,230.88616437471163,235.13384045800194,['rshift'],[1.5215568749699742],,,,,,,,070,001,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None,
tr7,lt,tr,es,na,../practice_trial/audio/tr7.wav,Why do you have my camisa?,lt_tr_es_na_tr7,-,-,-,-,-,-,../image/america.png,../image/spain.png,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,235.13384045800194,235.3836609160062,235.37829304102343,236.13627791667048,240.40284187498037,"['lshift', 'rshift']","[1.3009760829154402, 2.9629180829506367]",,,,,,,,070,001,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None,
tr8,lt,tr,es,na,../practice_trial/audio/tr8.wav,Where did you find his chanclas?,lt_tr_es_na_tr8,-,-,-,-,-,-,../image/america.png,../image/spain.png,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,240.40284187498037,240.62952083302662,240.64577345794532,241.38576254161697,245.62065808300395,"['lshift', 'rshift']","[1.2301054169656709, 2.0077728749020025]",,,,,,,,070,001,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070,001,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None,
169.0,l2,t,es,f0c,../audio/169.wav,,l2_t_es_f0c_169,,,,,,,../image/america.png,../image/spain.png,,,2,america,spain,,,,1,,,,,,,,,,,,,,,,,,,,,0,0,0,53,,,,,,,,,,,,,,,,,,,,,250.75746079103556,250.94570325000677,251.0010805829661,251.69631420768954,255.96428991598077,"['lshift', 'lshift', 'rshift']","[-0.5322151241125539, 1.3510148338973522, 2.567373583908193]",070,001,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None,
124.0,l2,f,sp,na,../audio/124.wav,,l2_f_sp_na_124,,,,,,,../image/america.png,../image/spain.png,,,2,america,spain,,,,None,,,,,,,,,,,,,,,,,,,,,0,1,1,28,,,,,,,,,,,,,,,,,,,,,255.96428991598077,256.1956508749863,256.21281604096293,256.9521571247062,261.2135613330174,"['lshift', 'rshift']","[1.1060831259237602, 2.584035875974223]",070,001,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None,
103.0,l2,f,en,na,../audio/103.wav,,l2_f_en_na_103,,,,,,,../image/america.png,../image/spain.png,,,2,america,spain,,,,None,,,,,,,,,,,,,,,,,,,,,0,2,2,7,,,,,,,,,,,,,,,,,,,,,261.2135613330174,261.4458104580408,261.46277641598135,262.2023657916036,266.4631232499378,"['lshift', 'lshift']","[1.4733018749393523, 2.6894989169668406]",070,001,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None,
112.0,l2,f,se,na,../audio/112.wav,,l2_f_se_na_112,,,,,,,../image/america.png,../image/spain.png,,,2,america,spain,,,,1,,,,,,,,,,,,,,,,,,,,,0,3,3,16,,,,,,,,,,,,,,,,,,,,,266.4631232499378,266.68623287498485,266.7123382909922,267.4514751246354,271.7009222500492,['rshift'],[1.4944974590325728],070,001,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None,
97.0,l2,f,en,na,../audio/097.wav,,l2_f_en_na_097,,,,,,,../image/america.png,../image/spain.png,,,2,america,spain,,,,None,,,,,,,,,,,,,,,,,,,,,0,4,4,1,,,,,,,,,,,,,,,,,,,,,271.7009222500492,271.9448338750517,271.95068279094994,272.7001386666127,276.96302762499545,['lshift'],[1.5247086249291897],070,001,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None,
