num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp_num,image,image_alt,left_img,right_img,image_dir,cs,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp2_loop.thisRepN,exp2_loop.thisTrialN,exp2_loop.thisN,exp2_loop.thisIndex,exp1_trial_cross.started,exp1_trial_key.started,exp1_trial_cross.stopped,exp1_trial_sound.started,exp1_trial_key.keys,exp1_trial_key.rt,exp1_cross.started,exp1_key.started,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp1_cross.stopped,exp1_sound.started,exp2_trial_cross.started,exp2_trial_key.started,exp2_trial_cross.stopped,exp2_trial_sound.started,exp2_trial_key.stopped,exp2_trial_key.keys,exp2_trial_key.rt,exp2_cross.started,exp2_key.started,exp2_cross.stopped,exp2_sound.started,exp2_key.stopped,exp2_key.keys,exp2_key.rt,participant,session,date,expName,psychopyVersion,frameRate,
67.0,l1,f,en,na,../audio/067.wav,,l1_f_en_na_067,,,,,,,../image/beer.png,../image/glasses.png,glasses,rshift,1,glasses,beer,beer,glasses,None,,,,,,,,,,0,14,14,6,,,,,,,,,,,,,,,,,,,74.90739745798055,75.12828141602222,rshift,1,2.2369053330039605,75.1548673750367,75.88817074970963,,,,,,,,,,,,,,,065,001,2023-04-26_16h26.14.078,exp_g1,2022.2.5,None,
64.0,l1,f,en,na,../audio/064.wav,,l1_f_en_na_064,,,,,,,../image/wallet.png,../image/key.png,wallet,lshift,1,wallet,key,wallet,key,None,,,,,,,,,,0,15,15,3,,,,,,,,,,,,,,,,,,,77.40654566604644,77.62125950003974,lshift,1,1.9230297080939636,77.654738000012,78.37604987464535,,,,,,,,,,,,,,,065,001,2023-04-26_16h26.14.078,exp_g1,2022.2.5,None,
90.0,l1,f,sp,na,../audio/090.wav,,l1_f_sp_na_090,,,,,,,../image/bag.png,../image/bottle.png,bag,lshift,1,bag,bottle,bag,bottle,None,,,,,,,,,,0,16,16,29,,,,,,,,,,,,,,,,,,,79.57402941596229,79.79520083300304,lshift,1,2.245410915929824,79.8216956659453,80.55469104164901,,,,,,,,,,,,,,,065,001,2023-04-26_16h26.14.078,exp_g1,2022.2.5,None,
138.0,l1,t,es,f0u,../audio/138.wav,,l1_t_es_f0u_138,,,,,,,../image/pants.png,../image/shirt.png,shirt,rshift,1,shirt,pants,pants,shirt,None,,,,,,,,,,0,17,17,52,,,,,,,,,,,,,,,,,,,82.07722704100888,82.29489675001241,rshift,1,2.561772207962349,82.32141029101331,83.05466691666904,,,,,,,,,,,,,,,065,001,2023-04-26_16h26.14.078,exp_g1,2022.2.5,None,
86.0,l1,f,sp,na,../audio/086.wav,,l1_f_sp_na_086,,,,,,,../image/plates.png,../image/glasses.png,plates,lshift,1,plates,glasses,plates,glasses,None,,,,,,,,,,0,18,18,25,,,,,,,,,,,,,,,,,,,84.89048858301248,85.11175466596615,lshift,1,2.07981558307074,85.13819941598922,85.8704678326069,,,,,,,,,,,,,,,065,001,2023-04-26_16h26.14.078,exp_g1,2022.2.5,None,
14.0,l1,t,es,na,../audio/014.wav,,l1_t_es_na_014,,,,,,,../image/book.png,../image/key.png,key,rshift,1,key,book,book,key,None,,,,,,,,,,0,19,19,38,,,,,,,,,,,,,,,,,,,87.22568925004452,87.44445624994114,rshift,1,2.3665820410242304,87.47143116593361,88.20489641669361,,,,,,,,,,,,,,,065,001,2023-04-26_16h26.14.078,exp_g1,2022.2.5,None,
92.0,l1,f,sp,na,../audio/092.wav,,l1_f_sp_na_092,,,,,,,../image/armchair.png,../image/dog.png,armchair,lshift,1,armchair,dog,armchair,dog,None,,,,,,,,,,0,20,20,31,,,,,,,,,,,,,,,,,,,89.84914270800073,90.06179737497587,lshift,1,2.1495737499790266,90.09480500000063,90.821386916625,,,,,,,,,,,,,,,065,001,2023-04-26_16h26.14.078,exp_g1,2022.2.5,None,
70.0,l1,f,en,na,../audio/070.wav,,l1_f_en_na_070,,,,,,,../image/computer.png,../image/bed.png,computer,lshift,1,computer,bed,computer,bed,None,,,,,,,,,,0,21,21,9,,,,,,,,,,,,,,,,,,,92.24609345803037,92.46135279093869,lshift,1,2.053155375062488,92.49436633300502,93.22136945760964,,,,,,,,,,,,,,,065,001,2023-04-26_16h26.14.078,exp_g1,2022.2.5,None,
61.0,l1,f,en,na,../audio/061.wav,,l1_f_en_na_061,,,,,,,../image/cat.png,../image/dog.png,dog,rshift,1,dog,cat,cat,dog,../image/,,,,,,,,,,0,22,22,0,,,,,,,,,,,,,,,,,,,94.55425795796327,94.77037079096772,rshift,1,1.5968302079709247,94.80474462499842,95.52926195768329,,,,,,,,,,,,,,,065,001,2023-04-26_16h26.14.078,exp_g1,2022.2.5,None,
95.0,l1,f,sp,na,../audio/095.wav,,l1_f_sp_na_095,,,,,,,../image/socks.png,../image/key.png,key,rshift,1,key,socks,socks,key,None,,,,,,,,,,0,23,23,34,,,,,,,,,,,,,,,,,,,96.39991487504449,96.62013795797247,rshift,1,2.109155375044793,96.64224758301862,97.3758461246655,,,,,,,,,,,,,,,065,001,2023-04-26_16h26.14.078,exp_g1,2022.2.5,None,
