participant,session,date,expName,psychopyVersion,OS,frameRate,exp1_trial_key.keys,exp1_trial_key.rt,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_trial_loop.ran,num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp1_key.keys,exp1_key.corr,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp1_loop.ran,exp_num,image,image_alt,left_img,right_img,image_dir,exp1_key.rt,exp2_trial_key.keys,exp2_trial_key.rt,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp2_trial_loop.ran,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_retrial.ran,exp2_key.keys,exp2_key.rt,exp2_loop.thisRepN,exp2_loop.thisTrialN,exp2_loop.thisN,exp2_loop.thisIndex,exp2_loop.ran,cs
064,001,2023-10-23_17h51.37.190,exp_g2,2022.2.5,Win32,8.997093939,,,,,,,,129,l2,f,sp,na,audio/129.wav,,l2_f_sp_na_129,,,,,,,image/bag.png,image/chair.png,bag,lshift,lshift,1,0,13,13,33,1,1,bag,chair,bag,chair,,3.0849,,,,,,,,,,,,,,,,,,,,
064,001,2023-10-23_17h51.37.190,exp_g2,2022.2.5,Win32,8.997093939,,,,,,,,110,l2,f,en,na,audio/110.wav,,l2_f_en_na_110,,,,,,,image/dog.png,image/cat.png,cat,rshift,rshift,1,0,14,14,14,1,1,cat,dog,dog,cat,,2.313,,,,,,,,,,,,,,,,,,,,
064,001,2023-10-23_17h51.37.190,exp_g2,2022.2.5,Win32,8.997093939,,,,,,,,024,l2,t,es,na,audio/024.wav,,l2_t_es_na_024,,,,,,,image/bed.png,image/jug.png,jug,rshift,rshift,1,0,15,15,38,1,1,jug,bed,bed,jug,,3.2273,,,,,,,,,,,,,,,,,,,,
064,001,2023-10-23_17h51.37.190,exp_g2,2022.2.5,Win32,8.997093939,,,,,,,,124,l2,f,sp,na,audio/124.wav,,l2_f_sp_na_124,,,,,,,image/bag.png,image/bed.png,bed,rshift,rshift,1,0,16,16,28,1,1,bed,bag,bag,bed,,2.4802,,,,,,,,,,,,,,,,,,,,
064,001,2023-10-23_17h51.37.190,exp_g2,2022.2.5,Win32,8.997093939,,,,,,,,097,l2,f,en,na,audio/097.wav,,l2_f_en_na_097,,,,,,,image/ring.png,image/belt.png,ring,lshift,lshift,1,0,17,17,1,1,1,ring,belt,ring,belt,,2.1695,,,,,,,,,,,,,,,,,,,,
064,001,2023-10-23_17h51.37.190,exp_g2,2022.2.5,Win32,8.997093939,,,,,,,,119,l2,f,se,na,audio/119.wav,,l2_f_se_na_119,,,,,,,image/penthouse.png,image/rocket.png,penthouse,lshift,lshift,1,0,18,18,23,1,1,penthouse,rocket,penthouse,rocket,,2.777,,,,,,,,,,,,,,,,,,,,
064,001,2023-10-23_17h51.37.190,exp_g2,2022.2.5,Win32,8.997093939,,,,,,,,113,l2,f,se,na,audio/113.wav,,l2_f_se_na_113,,,,,,,image/loafers.png,image/sneakers.png,loafers,lshift,lshift,1,0,19,19,17,1,1,loafers,sneakers,loafers,sneakers,,2.8103,,,,,,,,,,,,,,,,,,,,
064,001,2023-10-23_17h51.37.190,exp_g2,2022.2.5,Win32,8.997093939,,,,,,,,151,l1,t,es,f0c,audio/151.wav,,l1_t_es_f0c_151,,,,,,,image/cat.png,image/flower.png,cat,lshift,lshift,1,0,20,20,45,1,1,cat,flower,cat,flower,,2.4934,,,,,,,,,,,,,,,,,,,,
064,001,2023-10-23_17h51.37.190,exp_g2,2022.2.5,Win32,8.997093939,,,,,,,,100,l2,f,en,na,audio/100.wav,,l2_f_en_na_100,,,,,,,image/wallet.png,image/scarf.png,scarf,rshift,rshift,1,0,21,21,4,1,1,scarf,wallet,wallet,scarf,,2.1864,,,,,,,,,,,,,,,,,,,,
064,001,2023-10-23_17h51.37.190,exp_g2,2022.2.5,Win32,8.997093939,,,,,,,,112,l2,f,se,na,audio/112.wav,,l2_f_se_na_112,,,,,,,image/burger.png,image/hotdog.png,hotdog,rshift,rshift,1,0,22,22,16,1,1,hotdog,burger,burger,hotdog,,2.4857,,,,,,,,,,,,,,,,,,,,
