num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct,exp_num,image,image_alt,left_img,right_img,correct_key,image_dir,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp1_trial_key.started,exp1_trial_key.keys,exp1_trial_key.rt,exp1_key.started,exp1_key.keys,exp1_key.rt,exp1_sound.started,exp2_trial_key.started,exp2_trial_sound.started,exp2_trial_key.stopped,participant,session,date,expName,psychopyVersion,frameRate,
66.0,l1,f,en,na,../audio/066.wav,,l1_f_en_na_066,,,,,,,../image/bag.png,../image/scarf.png,bag,,1,bag,scarf,bag,scarf,l,None,,,,,,,,,0,6,6,5,,,,,,,,,,,,18.052011125000718,['lshift'],[0.1857164590001048],,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
137.0,l1,t,es,f0u,../audio/137.wav,,l1_t_es_f0u_137,,,,,,,../image/jacket.png,../image/shirt.png,jacket,,1,jacket,shirt,jacket,shirt,l,None,,,,,,,,,0,7,7,51,,,,,,,,,,,,18.284917250000944,['lshift'],[0.18034725099823845],,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
73.0,l1,f,en,na,../audio/073.wav,,l1_f_en_na_073,,,,,,,../image/socks.png,../image/tshirt.png,tshirt,,1,tshirt,socks,socks,tshirt,r,None,,,,,,,,,0,8,8,12,,,,,,,,,,,,18.511353958001564,['lshift'],[0.19476474999828497],,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
89.0,l1,f,sp,na,../audio/089.wav,,l1_f_sp_na_089,,,,,,,../image/bed.png,../image/wallet.png,wallet,,1,wallet,bed,bed,wallet,r,None,,,,,,,,,0,9,9,28,,,,,,,,,,,,18.757293042001038,['lshift'],[0.19691087499813875],,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
95.0,l1,f,sp,na,../audio/095.wav,,l1_f_sp_na_095,,,,,,,../image/socks.png,../image/key.png,key,,1,key,socks,socks,key,r,None,,,,,,,,,0,10,10,34,,,,,,,,,,,,18.99870112500139,['lshift'],[0.19771454199872096],,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
69.0,l1,f,en,na,../audio/069.wav,,l1_f_en_na_069,,,,,,,../image/bag.png,../image/shirt.png,shirt,,1,shirt,bag,bag,shirt,r,None,,,,,,,,,0,11,11,8,,,,,,,,,,,,19.23684250000042,['lshift'],[0.2117896669988113],,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
91.0,l1,f,sp,na,../audio/091.wav,,l1_f_sp_na_091,,,,,,,../image/backpack.png,../image/bracelet.png,bracelet,,1,bracelet,backpack,backpack,bracelet,r,None,,,,,,,,,0,12,12,30,,,,,,,,,,,,19.49398950000068,['lshift'],[0.2187428329980321],,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
139.0,l1,t,es,f0u,../audio/139.wav,,l1_t_es_f0u_139,,,,,,,../image/restaurant.png,../image/hotel.png,restaurant,,1,restaurant,hotel,restaurant,hotel,l,None,,,,,,,,,0,13,13,53,,,,,,,,,,,,19.7576548750003,['lshift'],[0.201277874997686],,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
87.0,l1,f,sp,na,../audio/087.wav,,l1_f_sp_na_087,,,,,,,../image/desk.png,../image/bed.png,bed,,1,bed,desk,desk,bed,r,None,,,,,,,,,0,14,14,26,,,,,,,,,,,,20.00235870800134,['lshift'],[0.2544591259993467],,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
82.0,l1,f,se,na,../audio/082.wav,,l1_f_se_na_082,,,,,,,../image/mickeymouse.png,../image/spongebob.png,mickeymouse,,1,mickeymouse,spongebob,mickeymouse,spongebob,l,None,,,,,,,,,0,15,15,21,,,,,,,,,,,,20.30198266700063,['lshift'],[0.2538790419985162],,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
14.0,l1,t,es,na,../audio/014.wav,,l1_t_es_na_014,,,,,,,../image/book.png,../image/key.png,key,,1,key,book,book,key,r,None,,,,,,,,,0,16,16,38,,,,,,,,,,,,20.603532917000848,['lshift'],[0.27037537499927566],,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
61.0,l1,f,en,na,../audio/061.wav,,l1_f_en_na_061,,,,,,,../image/cat.png,../image/dog.png,dog,,1,dog,cat,cat,dog,r,../image/,,,,,,,,,0,17,17,0,,,,,,,,,,,,20.92099029200108,['lshift'],[0.3115574169987667],,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
75.0,l1,f,en,na,../audio/075.wav,,l1_f_en_na_075,,,,,,,../image/dog.png,../image/fish.png,fish,,1,fish,dog,dog,fish,r,None,,,,,,,,,0,18,18,14,,,,,,,,,,,,21.280728375000763,['lshift'],[0.28271595899786917],,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
77.0,l1,f,se,na,../audio/077.wav,,l1_f_se_na_077,,,,,,,../image/mashedpotatoes.png,../image/donut.png,donut,,1,donut,mashedpotatoes,mashedpotatoes,donut,r,None,,,,,,,,,0,19,19,16,,,,,,,,,,,,21.60851054200066,['lshift'],[0.2155334999988554],,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
74.0,l1,f,en,na,../audio/074.wav,,l1_f_en_na_074,,,,,,,../image/boy.png,../image/woman.png,boy,,1,boy,woman,boy,woman,l,None,,,,,,,,,0,20,20,13,,,,,,,,,,,,21.87107641700095,['lshift'],[0.27575562499987427],,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
