num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct,exp_num,image,image_alt,left_img,right_img,correct_key,image_dir,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp1_trial_key.started,exp1_trial_key.keys,exp1_trial_key.rt,exp1_key.started,exp1_key.keys,exp1_key.rt,exp2_trial_key.started,exp2_trial_key.keys,exp2_trial_key.rt,exp2_trial_sound.started,participant,session,date,expName,psychopyVersion,frameRate,
83.0,l1,f,se,na,../audio/083.wav,,l1_f_se_na_083,,,,,,,../image/donut.png,../image/burger.png,burger,,1,burger,donut,donut,burger,r,None,,,,,,,,,0,15,15,22,,,,,,,,,,,,17.525183499999912,['lshift'],[0.05068329200003063],,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
131.0,l1,t,es,f0u,../audio/131.wav,,l1_t_es_f0u_131,,,,,,,../image/cat.png,../image/flower.png,cat,,1,cat,flower,cat,flower,l,None,,,,,,,,,0,16,16,45,,,,,,,,,,,,17.61651029099994,['lshift'],[0.016691333999915514],,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
82.0,l1,f,se,na,../audio/082.wav,,l1_f_se_na_082,,,,,,,../image/mickeymouse.png,../image/spongebob.png,mickeymouse,,1,mickeymouse,spongebob,mickeymouse,spongebob,l,None,,,,,,,,,0,17,17,21,,,,,,,,,,,,17.66073312499975,['lshift'],[0.048198001000855584],,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
93.0,l1,f,sp,na,../audio/093.wav,,l1_f_sp_na_093,,,,,,,../image/boy.png,../image/book.png,book,,1,book,boy,boy,book,r,None,,,,,,,,,0,18,18,32,,,,,,,,,,,,17.74727158300084,['lshift'],[0.021675916999811307],,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
81.0,l1,f,se,na,../audio/081.wav,,l1_f_se_na_081,,,,,,,../image/boxers.png,../image/sweatpants.png,sweatpants,,1,sweatpants,boxers,boxers,sweatpants,r,None,,,,,,,,,0,19,19,20,,,,,,,,,,,,17.798252750000756,['lshift'],[0.10440900100002182],,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
80.0,l1,f,se,na,../audio/080.wav,,l1_f_se_na_080,,,,,,,../image/mouse.png,../image/rat.png,mouse,,1,mouse,rat,mouse,rat,l,None,,,,,,,,,0,20,20,19,,,,,,,,,,,,17.93802599999981,['lshift'],[0.027529834000233677],,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
77.0,l1,f,se,na,../audio/077.wav,,l1_f_se_na_077,,,,,,,../image/mashedpotatoes.png,../image/donut.png,donut,,1,donut,mashedpotatoes,mashedpotatoes,donut,r,None,,,,,,,,,0,21,21,16,,,,,,,,,,,,17.996756250000544,['lshift'],[0.04404979200080561],,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
17.0,l1,t,es,na,../audio/017.wav,,l1_t_es_na_017,,,,,,,../image/jug.png,../image/cat.png,jug,,1,jug,cat,jug,cat,l,None,,,,,,,,,0,22,22,41,,,,,,,,,,,,18.07998674999908,['lshift'],[0.07950712499950896],,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
67.0,l1,f,en,na,../audio/067.wav,,l1_f_en_na_067,,,,,,,../image/beer.png,../image/glasses.png,glasses,,1,glasses,beer,beer,glasses,r,None,,,,,,,,,0,23,23,6,,,,,,,,,,,,18.197073625000485,['lshift'],[0.021723709000070812],,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
136.0,l1,t,es,f0u,../audio/136.wav,,l1_t_es_f0u_136,,,,,,,../image/city.png,../image/village.png,village,,1,village,city,city,village,r,None,,,,,,,,,0,24,24,50,,,,,,,,,,,,18.25206183299997,['lshift'],[0.04315150100046594],,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
94.0,l1,f,sp,na,../audio/094.wav,,l1_f_sp_na_094,,,,,,,../image/beer.png,../image/horchata.png,beer,,1,beer,horchata,beer,horchata,l,None,,,,,,,,,0,25,25,33,,,,,,,,,,,,18.330225290999806,['lshift'],[0.025828251000348246],,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
84.0,l1,f,se,na,../audio/084.wav,,l1_f_se_na_084,,,,,,,../image/penthouse.png,../image/rocket.png,penthouse,,1,penthouse,rocket,penthouse,rocket,l,None,,,,,,,,,0,26,26,23,,,,,,,,,,,,18.398248875000718,['lshift'],[0.02284750100079691],,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
18.0,l1,t,es,na,../audio/018.wav,,l1_t_es_na_018,,,,,,,../image/cups.png,../image/napkins.png,napkins,,1,napkins,cups,cups,napkins,r,None,,,,,,,,,0,27,27,42,,,,,,,,,,,,18.448257000000012,['lshift'],[0.09652212600121857],,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
14.0,l1,t,es,na,../audio/014.wav,,l1_t_es_na_014,,,,,,,../image/book.png,../image/key.png,key,,1,key,book,book,key,r,None,,,,,,,,,0,28,28,38,,,,,,,,,,,,18.581780041000457,['lshift'],[0.041031958999155904],,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
86.0,l1,f,sp,na,../audio/086.wav,,l1_f_sp_na_086,,,,,,,../image/plates.png,../image/glasses.png,plates,,1,plates,glasses,plates,glasses,l,None,,,,,,,,,0,29,29,25,,,,,,,,,,,,18.648625665999134,['lshift'],[0.03470516700144799],,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
