num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp_num,image,image_alt,left_img,right_img,image_dir,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp1_trial_key.started,exp1_trial_key.keys,exp1_trial_key.rt,exp1_key.started,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp2_trial_key.started,exp2_trial_sound.started,exp2_trial_key.keys,exp2_trial_key.rt,participant,session,date,expName,psychopyVersion,frameRate,
133.0,l1,t,es,f0u,../audio/133.wav,,l1_t_es_f0u_133,,,,,,,../image/cellphone.png,../image/book.png,cellphone,rshift,1,cellphone,book,cellphone,book,None,,,,,,,,,0,15,15,47,,,,,,,,,,,,21.214337124998565,lshift,0,0.28403699999762466,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
82.0,l1,f,se,na,../audio/082.wav,,l1_f_se_na_082,,,,,,,../image/mickeymouse.png,../image/spongebob.png,mickeymouse,lshift,1,mickeymouse,spongebob,mickeymouse,spongebob,None,,,,,,,,,0,16,16,21,,,,,,,,,,,,21.53843649999908,lshift,1,0.2845568330012611,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
18.0,l1,t,es,na,../audio/018.wav,,l1_t_es_na_018,,,,,,,../image/cups.png,../image/napkins.png,napkins,lshift,1,napkins,cups,cups,napkins,None,,,,,,,,,0,17,17,42,,,,,,,,,,,,21.86679745800211,lshift,1,0.3007625000027474,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
81.0,l1,f,se,na,../audio/081.wav,,l1_f_se_na_081,,,,,,,../image/boxers.png,../image/sweatpants.png,sweatpants,rshift,1,sweatpants,boxers,boxers,sweatpants,None,,,,,,,,,0,18,18,20,,,,,,,,,,,,22.220957875004387,lshift,0,0.2680087919943617,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
76.0,l1,f,se,na,../audio/076.wav,,l1_f_se_na_076,,,,,,,../image/hotdog.png,../image/burger.png,hotdog,lshift,1,hotdog,burger,hotdog,burger,None,,,,,,,,,0,19,19,15,,,,,,,,,,,,22.53856720800104,lshift,1,0.29891937500360655,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
89.0,l1,f,sp,na,../audio/089.wav,,l1_f_sp_na_089,,,,,,,../image/bed.png,../image/wallet.png,wallet,lshift,1,wallet,bed,bed,wallet,None,,,,,,,,,0,20,20,28,,,,,,,,,,,,22.88716770800238,lshift,1,0.28619041699857917,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
11.0,l1,t,es,na,../audio/011.wav,,l1_t_es_na_011,,,,,,,../image/armchair.png,../image/bed.png,armchair,rshift,1,armchair,bed,armchair,bed,None,,,,,,,,,0,21,21,35,,,,,,,,,,,,23.223284332998446,lshift,0,0.2692469580069883,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
95.0,l1,f,sp,na,../audio/095.wav,,l1_f_sp_na_095,,,,,,,../image/socks.png,../image/key.png,key,lshift,1,key,socks,socks,key,None,,,,,,,,,0,22,22,34,,,,,,,,,,,,23.5339982910009,lshift,1,0.2631386660068529,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
137.0,l1,t,es,f0u,../audio/137.wav,,l1_t_es_f0u_137,,,,,,,../image/jacket.png,../image/shirt.png,jacket,rshift,1,jacket,shirt,jacket,shirt,None,,,,,,,,,0,23,23,51,,,,,,,,,,,,23.836389125004644,lshift,0,0.27583775000675814,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
65.0,l1,f,en,na,../audio/065.wav,,l1_f_en_na_065,,,,,,,../image/computer.png,../image/book.png,book,rshift,1,book,computer,computer,book,None,,,,,,,,,0,24,24,4,,,,,,,,,,,,24.154937125000288,lshift,0,0.27218429100321373,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
73.0,l1,f,en,na,../audio/073.wav,,l1_f_en_na_073,,,,,,,../image/socks.png,../image/tshirt.png,tshirt,rshift,1,tshirt,socks,socks,tshirt,None,,,,,,,,,0,25,25,12,,,,,,,,,,,,24.47252158300398,lshift,0,0.2824949589994503,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
91.0,l1,f,sp,na,../audio/091.wav,,l1_f_sp_na_091,,,,,,,../image/backpack.png,../image/bracelet.png,bracelet,lshift,1,bracelet,backpack,backpack,bracelet,None,,,,,,,,,0,26,26,30,,,,,,,,,,,,24.799081000004662,lshift,1,0.26561025000410154,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
13.0,l1,t,es,na,../audio/013.wav,,l1_t_es_na_013,,,,,,,../image/beer.png,../image/wine.png,beer,rshift,1,beer,wine,beer,wine,None,,,,,,,,,0,27,27,37,,,,,,,,,,,,25.105247583000164,lshift,0,0.29251833399757743,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
19.0,l1,t,es,na,../audio/019.wav,,l1_t_es_na_019,,,,,,,../image/boy.png,../image/dog.png,boy,rshift,1,boy,dog,boy,dog,None,,,,,,,,,0,28,28,43,,,,,,,,,,,,25.434882916000788,lshift,0,0.27125900000100955,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
68.0,l1,f,en,na,../audio/068.wav,,l1_f_en_na_068,,,,,,,../image/socks.png,../image/book.png,socks,lshift,1,socks,book,socks,book,None,,,,,,,,,0,29,29,7,,,,,,,,,,,,25.747693958001037,lshift,1,0.2524159160020645,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
77.0,l1,f,se,na,../audio/077.wav,,l1_f_se_na_077,,,,,,,../image/mashedpotatoes.png,../image/donut.png,donut,rshift,1,donut,mashedpotatoes,mashedpotatoes,donut,None,,,,,,,,,0,30,30,16,,,,,,,,,,,,26.051096291004797,lshift,0,0.23267829100223025,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
