num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp_num,image,image_alt,left_img,right_img,image_dir,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp1_trial_key.started,exp1_trial_sound.started,exp1_trial_key.keys,exp1_trial_key.rt,exp1_key.started,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp2_trial_key.started,exp2_trial_sound.started,exp2_trial_key.keys,exp2_trial_key.rt,participant,session,date,expName,psychopyVersion,frameRate,
63.0,l1,f,en,na,../audio/063.wav,,l1_f_en_na_063,,,,,,,../image/woman.png,../image/man.png,man,rshift,1,man,woman,woman,man,None,,,,,,,,,0,8,8,2,,,,,,,,,,,,,19.324683374994493,lshift,0,0.15235795700573362,,,,,358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
132.0,l1,t,es,f0u,../audio/132.wav,,l1_t_es_f0u_132,,,,,,,../image/car.png,../image/grandma.png,grandma,lshift,1,grandma,car,car,grandma,None,,,,,,,,,0,9,9,46,,,,,,,,,,,,,19.519964166996942,rshift,0,0.1941070410030079,,,,,358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
81.0,l1,f,se,na,../audio/081.wav,,l1_f_se_na_081,,,,,,,../image/boxers.png,../image/sweatpants.png,sweatpants,rshift,1,sweatpants,boxers,boxers,sweatpants,None,,,,,,,,,0,10,10,20,,,,,,,,,,,,,19.760722166996857,lshift,0,0.09014212400506949,,,,,358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
138.0,l1,t,es,f0u,../audio/138.wav,,l1_t_es_f0u_138,,,,,,,../image/pants.png,../image/shirt.png,shirt,lshift,1,shirt,pants,pants,shirt,None,,,,,,,,,0,11,11,52,,,,,,,,,,,,,19.88507604199549,rshift,0,0.18863891600631177,,,,,358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
137.0,l1,t,es,f0u,../audio/137.wav,,l1_t_es_f0u_137,,,,,,,../image/jacket.png,../image/shirt.png,jacket,rshift,1,jacket,shirt,jacket,shirt,None,,,,,,,,,0,12,12,51,,,,,,,,,,,,,20.118109958995774,lshift,0,0.1296898740110919,,,,,358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
92.0,l1,f,sp,na,../audio/092.wav,,l1_f_sp_na_092,,,,,,,../image/armchair.png,../image/dog.png,armchair,rshift,1,armchair,dog,armchair,dog,None,,,,,,,,,0,13,13,31,,,,,,,,,,,,,20.293225874993368,rshift,1,0.17255766600283096,,,,,358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
75.0,l1,f,en,na,../audio/075.wav,,l1_f_en_na_075,,,,,,,../image/dog.png,../image/fish.png,fish,rshift,1,fish,dog,dog,fish,None,,,,,,,,,0,14,14,14,,,,,,,,,,,,,20.506172916997457,lshift,0,0.1542986240092432,,,,,358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
86.0,l1,f,sp,na,../audio/086.wav,,l1_f_sp_na_086,,,,,,,../image/plates.png,../image/glasses.png,plates,lshift,1,plates,glasses,plates,glasses,None,,,,,,,,,0,15,15,25,,,,,,,,,,,,,20.699552208992827,rshift,0,0.1560740830100258,,,,,358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
90.0,l1,f,sp,na,../audio/090.wav,,l1_f_sp_na_090,,,,,,,../image/bag.png,../image/bottle.png,bag,rshift,1,bag,bottle,bag,bottle,None,,,,,,,,,0,16,16,29,,,,,,,,,,,,,20.901456749998033,lshift,0,0.12852362500416348,,,,,358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
79.0,l1,f,se,na,../audio/079.wav,,l1_f_se_na_079,,,,,,,../image/sweatpants.png,../image/jeans.png,jeans,rshift,1,jeans,sweatpants,sweatpants,jeans,None,,,,,,,,,0,17,17,18,,,,,,,,,,,,,21.06707779199496,rshift,1,0.15420641600212548,,,,,358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
13.0,l1,t,es,na,../audio/013.wav,,l1_t_es_na_013,,,,,,,../image/beer.png,../image/wine.png,beer,rshift,1,beer,wine,beer,wine,None,,,,,,,,,0,18,18,37,,,,,,,,,,,,,21.269208916994103,lshift,0,0.11604091600747779,,,,,358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
74.0,l1,f,en,na,../audio/074.wav,,l1_f_en_na_074,,,,,,,../image/boy.png,../image/woman.png,boy,lshift,1,boy,woman,boy,woman,None,,,,,,,,,0,19,19,13,,,,,,,,,,,,,21.42324370899587,rshift,0,0.159679041003983,,,,,358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
72.0,l1,f,en,na,../audio/072.wav,,l1_f_en_na_072,,,,,,,../image/dog.png,../image/fish.png,dog,lshift,1,dog,fish,dog,fish,None,,,,,,,,,0,20,20,11,,,,,,,,,,,,,21.62358816699998,lshift,1,0.09576145800383529,,,,,358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
88.0,l1,f,sp,na,../audio/088.wav,,l1_f_sp_na_088,,,,,,,../image/book.png,../image/cellphone.png,book,rshift,1,book,cellphone,book,cellphone,None,,,,,,,,,0,21,21,27,,,,,,,,,,,,,21.76620924999588,rshift,1,0.13505629100109218,,,,,358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
18.0,l1,t,es,na,../audio/018.wav,,l1_t_es_na_018,,,,,,,../image/cups.png,../image/napkins.png,napkins,lshift,1,napkins,cups,cups,napkins,None,,,,,,,,,0,22,22,42,,,,,,,,,,,,,21.951745583995944,lshift,1,0.10915291600394994,,,,,358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
