num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct,exp_num,image,image_alt,left_img,right_img,correct_key,image_dir,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp1_trial_key.started,exp1_trial_key.keys,exp1_trial_key.rt,exp1_key.started,exp1_key.keys,exp1_key.rt,exp2_trial_key.started,exp2_trial_sound.started,exp2_trial_key.keys,exp2_trial_key.rt,participant,session,date,expName,psychopyVersion,frameRate,
tr7,lt,tr,es,na,../practice_trial/audio/tr7.wav,Why do you have my camisa?,lt_tr_es_na_tr7,-,-,-,-,-,-,../image/shirt.png,../image/wallet.png,shirt,lshift,,,,,,,,1,0,1,0,0,6,6,6,,,,,,,,,,,,,19.410370333000174,['lshift'],[0.09426895899923693],,,,,,,,032644,001,2023-04-03_13h59.33.727,exp_g1,2022.2.5,None,
tr8,lt,tr,es,na,../practice_trial/audio/tr8.wav,Where did you find his chanclas?,lt_tr_es_na_tr8,-,-,-,-,-,-,../image/key.png,../image/flipflops.png,flipflops,rshift,,,,,,,,1,0,1,0,0,7,7,7,,,,,,,,,,,,,19.53746958300144,['lshift'],[0.1231495839983836],,,,,,,,032644,001,2023-04-03_13h59.33.727,exp_g1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,032644,001,2023-04-03_13h59.33.727,exp_g1,2022.2.5,None,
85.0,l1,f,se,na,../audio/085.wav,,l1_f_se_na_085,,,,,,,../image/loafers.png,../image/sneakers.png,sneakers,,1,sneakers,loafers,loafers,sneakers,r,None,,,,,,,,,0,0,0,24,,,,,,,,,,,,20.449560417000612,['lshift'],[-0.6466999170024792],,,,,032644,001,2023-04-03_13h59.33.727,exp_g1,2022.2.5,None,
88.0,l1,f,sp,na,../audio/088.wav,,l1_f_sp_na_088,,,,,,,../image/book.png,../image/cellphone.png,book,,1,book,cellphone,book,cellphone,l,None,,,,,,,,,0,1,1,27,,,,,,,,,,,,20.47420266700101,['rshift'],[0.5230654579991096],,,,,032644,001,2023-04-03_13h59.33.727,exp_g1,2022.2.5,None,
16.0,l1,t,es,na,../audio/016.wav,,l1_t_es_na_016,,,,,,,../image/flipflops.png,../image/bag.png,bag,,1,bag,flipflops,flipflops,bag,r,None,,,,,,,,,0,2,2,40,,,,,,,,,,,,21.04767795800035,['rshift'],[0.14193887499823177],,,,,032644,001,2023-04-03_13h59.33.727,exp_g1,2022.2.5,None,
18.0,l1,t,es,na,../audio/018.wav,,l1_t_es_na_018,,,,,,,../image/cups.png,../image/napkins.png,napkins,,1,napkins,cups,cups,napkins,r,None,,,,,,,,,0,3,3,42,,,,,,,,,,,,21.234502250001242,['rshift'],[0.1390695419995609],,,,,032644,001,2023-04-03_13h59.33.727,exp_g1,2022.2.5,None,
20.0,l1,t,es,na,../audio/020.wav,,l1_t_es_na_020,,,,,,,../image/cellphone.png,../image/backpack.png,backpack,,1,backpack,cellphone,cellphone,backpack,r,None,,,,,,,,,0,4,4,44,,,,,,,,,,,,21.409083958000338,['lshift'],[0.060707000997354044],,,,,032644,001,2023-04-03_13h59.33.727,exp_g1,2022.2.5,None,
79.0,l1,f,se,na,../audio/079.wav,,l1_f_se_na_079,,,,,,,../image/sweatpants.png,../image/jeans.png,jeans,,1,jeans,sweatpants,sweatpants,jeans,r,None,,,,,,,,,0,5,5,18,,,,,,,,,,,,21.503045833000215,['lshift'],[0.13229329199930362],,,,,032644,001,2023-04-03_13h59.33.727,exp_g1,2022.2.5,None,
82.0,l1,f,se,na,../audio/082.wav,,l1_f_se_na_082,,,,,,,../image/mickeymouse.png,../image/spongebob.png,mickeymouse,,1,mickeymouse,spongebob,mickeymouse,spongebob,l,None,,,,,,,,,0,6,6,21,,,,,,,,,,,,21.67322837500069,['lshift'],[0.1261865009983012],,,,,032644,001,2023-04-03_13h59.33.727,exp_g1,2022.2.5,None,
63.0,l1,f,en,na,../audio/063.wav,,l1_f_en_na_063,,,,,,,../image/woman.png,../image/man.png,man,,1,man,woman,woman,man,r,None,,,,,,,,,0,7,7,2,,,,,,,,,,,,21.84307741700104,['lshift'],[0.1333428339985403],,,,,032644,001,2023-04-03_13h59.33.727,exp_g1,2022.2.5,None,
137.0,l1,t,es,f0u,../audio/137.wav,,l1_t_es_f0u_137,,,,,,,../image/jacket.png,../image/shirt.png,jacket,,1,jacket,shirt,jacket,shirt,l,None,,,,,,,,,0,8,8,51,,,,,,,,,,,,22.026076625001224,['lshift'],[0.13831637599832902],,,,,032644,001,2023-04-03_13h59.33.727,exp_g1,2022.2.5,None,
64.0,l1,f,en,na,../audio/064.wav,,l1_f_en_na_064,,,,,,,../image/wallet.png,../image/key.png,wallet,,1,wallet,key,wallet,key,l,None,,,,,,,,,0,9,9,3,,,,,,,,,,,,22.211116625001523,['lshift'],[0.21339150099811377],,,,,032644,001,2023-04-03_13h59.33.727,exp_g1,2022.2.5,None,
19.0,l1,t,es,na,../audio/019.wav,,l1_t_es_na_019,,,,,,,../image/boy.png,../image/dog.png,boy,,1,boy,dog,boy,dog,l,None,,,,,,,,,0,10,10,43,,,,,,,,,,,,22.469583042000522,['lshift'],[0.13259716699758428],,,,,032644,001,2023-04-03_13h59.33.727,exp_g1,2022.2.5,None,
15.0,l1,t,es,na,../audio/015.wav,,l1_t_es_na_015,,,,,,,../image/glasses.png,../image/jacket.png,glasses,,1,glasses,jacket,glasses,jacket,l,None,,,,,,,,,0,11,11,39,,,,,,,,,,,,22.642064792000383,['lshift'],[0.16513362499790674],,,,,032644,001,2023-04-03_13h59.33.727,exp_g1,2022.2.5,None,
69.0,l1,f,en,na,../audio/069.wav,,l1_f_en_na_069,,,,,,,../image/bag.png,../image/shirt.png,shirt,,1,shirt,bag,bag,shirt,r,None,,,,,,,,,0,12,12,8,,,,,,,,,,,,22.84788608300005,['lshift'],[0.16746958399744472],,,,,032644,001,2023-04-03_13h59.33.727,exp_g1,2022.2.5,None,
77.0,l1,f,se,na,../audio/077.wav,,l1_f_se_na_077,,,,,,,../image/mashedpotatoes.png,../image/donut.png,donut,,1,donut,mashedpotatoes,mashedpotatoes,donut,r,None,,,,,,,,,0,13,13,16,,,,,,,,,,,,23.062521542000468,['lshift'],[0.13081754199811257],,,,,032644,001,2023-04-03_13h59.33.727,exp_g1,2022.2.5,None,
74.0,l1,f,en,na,../audio/074.wav,,l1_f_en_na_074,,,,,,,../image/boy.png,../image/woman.png,boy,,1,boy,woman,boy,woman,l,None,,,,,,,,,0,14,14,13,,,,,,,,,,,,23.24442033300147,['lshift'],[0.14520524999898043],,,,,032644,001,2023-04-03_13h59.33.727,exp_g1,2022.2.5,None,
