num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct,exp_num,image,image_alt,left_img,right_img,correct_key,image_dir,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp1_trial_key.started,exp1_trial_key.keys,exp1_trial_key.rt,exp1_key.started,exp1_key.keys,exp1_key.rt,exp2_trial_key.started,participant,session,date,expName,psychopyVersion,frameRate,
13.0,l1,t,es,na,../audio/013.wav,,l1_t_es_na_013,,,,,,,../image/beer.png,../image/wine.png,beer,,1,beer,wine,beer,wine,l,None,,,,,,,,,0,16,16,37,,,,,,,,,,,,21.39671808300045,['lshift'],[0.28856745899975067],,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
68.0,l1,f,en,na,../audio/068.wav,,l1_f_en_na_068,,,,,,,../image/socks.png,../image/book.png,socks,,1,socks,book,socks,book,l,None,,,,,,,,,0,17,17,7,,,,,,,,,,,,21.732565875001455,['lshift'],[0.3289524169995275],,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
134.0,l1,t,es,f0u,../audio/134.wav,,l1_t_es_f0u_134,,,,,,,../image/basket.png,../image/truck.png,truck,,1,truck,basket,basket,truck,r,None,,,,,,,,,0,18,18,48,,,,,,,,,,,,22.111505875000148,['lshift'],[0.3126198759982799],,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
18.0,l1,t,es,na,../audio/018.wav,,l1_t_es_na_018,,,,,,,../image/cups.png,../image/napkins.png,napkins,,1,napkins,cups,cups,napkins,r,None,,,,,,,,,0,19,19,42,,,,,,,,,,,,22.46835262500099,['lshift'],[0.2846959170001355],,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
77.0,l1,f,se,na,../audio/077.wav,,l1_f_se_na_077,,,,,,,../image/mashedpotatoes.png,../image/donut.png,donut,,1,donut,mashedpotatoes,mashedpotatoes,donut,r,None,,,,,,,,,0,20,20,16,,,,,,,,,,,,22.801902333001635,['lshift'],[0.27233883400003833],,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
14.0,l1,t,es,na,../audio/014.wav,,l1_t_es_na_014,,,,,,,../image/book.png,../image/key.png,key,,1,key,book,book,key,r,None,,,,,,,,,0,21,21,38,,,,,,,,,,,,23.118890041001578,['lshift'],[0.31135604200062517],,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
64.0,l1,f,en,na,../audio/064.wav,,l1_f_en_na_064,,,,,,,../image/wallet.png,../image/key.png,wallet,,1,wallet,key,wallet,key,l,None,,,,,,,,,0,22,22,3,,,,,,,,,,,,23.47201104099986,['lshift'],[0.39628416699997615],,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
81.0,l1,f,se,na,../audio/081.wav,,l1_f_se_na_081,,,,,,,../image/boxers.png,../image/sweatpants.png,sweatpants,,1,sweatpants,boxers,boxers,sweatpants,r,None,,,,,,,,,0,23,23,20,,,,,,,,,,,,23.915502958001525,['lshift'],[0.34203408399844193],,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
65.0,l1,f,en,na,../audio/065.wav,,l1_f_en_na_065,,,,,,,../image/computer.png,../image/book.png,book,,1,book,computer,computer,book,r,None,,,,,,,,,0,24,24,4,,,,,,,,,,,,24.303343500001574,['lshift'],[0.33027949999996054],,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
72.0,l1,f,en,na,../audio/072.wav,,l1_f_en_na_072,,,,,,,../image/dog.png,../image/fish.png,dog,,1,dog,fish,dog,fish,l,None,,,,,,,,,0,25,25,11,,,,,,,,,,,,24.681475250001313,['lshift'],[0.25906537599985313],,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
80.0,l1,f,se,na,../audio/080.wav,,l1_f_se_na_080,,,,,,,../image/mouse.png,../image/rat.png,mouse,,1,mouse,rat,mouse,rat,l,None,,,,,,,,,0,26,26,19,,,,,,,,,,,,24.98157004099994,['lshift'],[0.31952045899924997],,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
131.0,l1,t,es,f0u,../audio/131.wav,,l1_t_es_f0u_131,,,,,,,../image/cat.png,../image/flower.png,cat,,1,cat,flower,cat,flower,l,None,,,,,,,,,0,27,27,45,,,,,,,,,,,,25.351062708001336,['lshift'],[0.32376145899979747],,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
69.0,l1,f,en,na,../audio/069.wav,,l1_f_en_na_069,,,,,,,../image/bag.png,../image/shirt.png,shirt,,1,shirt,bag,bag,shirt,r,None,,,,,,,,,0,28,28,8,,,,,,,,,,,,25.715645791000497,['lshift'],[0.29067125099754776],,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
132.0,l1,t,es,f0u,../audio/132.wav,,l1_t_es_f0u_132,,,,,,,../image/car.png,../image/grandma.png,grandma,,1,grandma,car,car,grandma,r,None,,,,,,,,,0,29,29,46,,,,,,,,,,,,26.050868125001216,['lshift'],[0.3730396679984551],,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
136.0,l1,t,es,f0u,../audio/136.wav,,l1_t_es_f0u_136,,,,,,,../image/city.png,../image/village.png,village,,1,village,city,city,village,r,None,,,,,,,,,0,30,30,50,,,,,,,,,,,,26.46602283300126,['lshift'],[0.4356771669990849],,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
61.0,l1,f,en,na,../audio/061.wav,,l1_f_en_na_061,,,,,,,../image/cat.png,../image/dog.png,dog,,1,dog,cat,cat,dog,r,../image/,,,,,,,,,0,31,31,0,,,,,,,,,,,,26.949003416000778,['lshift'],[0.5750579589985136],,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
84.0,l1,f,se,na,../audio/084.wav,,l1_f_se_na_084,,,,,,,../image/penthouse.png,../image/rocket.png,penthouse,,1,penthouse,rocket,penthouse,rocket,l,None,,,,,,,,,0,32,32,23,,,,,,,,,,,,27.568332000000737,['lshift'],[0.33892437599934055],,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
139.0,l1,t,es,f0u,../audio/139.wav,,l1_t_es_f0u_139,,,,,,,../image/restaurant.png,../image/hotel.png,restaurant,,1,restaurant,hotel,restaurant,hotel,l,None,,,,,,,,,0,33,33,53,,,,,,,,,,,,27.959636790999866,['lshift'],[0.43900787600068725],,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
75.0,l1,f,en,na,../audio/075.wav,,l1_f_en_na_075,,,,,,,../image/dog.png,../image/fish.png,fish,,1,fish,dog,dog,fish,r,None,,,,,,,,,0,34,34,14,,,,,,,,,,,,28.44320816600157,['lshift'],[0.43193866799992975],,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
93.0,l1,f,sp,na,../audio/093.wav,,l1_f_sp_na_093,,,,,,,../image/boy.png,../image/book.png,book,,1,book,boy,boy,book,r,None,,,,,,,,,0,35,35,32,,,,,,,,,,,,28.924586583001656,['lshift'],[0.4219408749995637],,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
133.0,l1,t,es,f0u,../audio/133.wav,,l1_t_es_f0u_133,,,,,,,../image/cellphone.png,../image/book.png,cellphone,,1,cellphone,book,cellphone,book,l,None,,,,,,,,,0,36,36,47,,,,,,,,,,,,29.39127258300141,['lshift'],[0.4079500009993353],,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
11.0,l1,t,es,na,../audio/011.wav,,l1_t_es_na_011,,,,,,,../image/armchair.png,../image/bed.png,armchair,,1,armchair,bed,armchair,bed,l,None,,,,,,,,,0,37,37,35,,,,,,,,,,,,29.85321387500153,['lshift'],[0.3827175839996926],,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
94.0,l1,f,sp,na,../audio/094.wav,,l1_f_sp_na_094,,,,,,,../image/beer.png,../image/horchata.png,beer,,1,beer,horchata,beer,horchata,l,None,,,,,,,,,0,38,38,33,,,,,,,,,,,,30.28538833300081,['lshift'],[0.3785316249995958],,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
74.0,l1,f,en,na,../audio/074.wav,,l1_f_en_na_074,,,,,,,../image/boy.png,../image/woman.png,boy,,1,boy,woman,boy,woman,l,None,,,,,,,,,0,39,39,13,,,,,,,,,,,,30.708420958000715,['lshift'],[0.4058998340005928],,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
70.0,l1,f,en,na,../audio/070.wav,,l1_f_en_na_070,,,,,,,../image/computer.png,../image/bed.png,computer,,1,computer,bed,computer,bed,l,None,,,,,,,,,0,40,40,9,,,,,,,,,,,,31.165603166000437,['lshift'],[0.41086525099854043],,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
12.0,l1,t,es,na,../audio/012.wav,,l1_t_es_na_012,,,,,,,../image/newspaper.png,../image/book.png,book,,1,book,newspaper,newspaper,book,r,None,,,,,,,,,0,41,41,36,,,,,,,,,,,,31.621361000001343,['lshift'],[0.39431291699838766],,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
91.0,l1,f,sp,na,../audio/091.wav,,l1_f_sp_na_091,,,,,,,../image/backpack.png,../image/bracelet.png,bracelet,,1,bracelet,backpack,backpack,bracelet,r,None,,,,,,,,,0,42,42,30,,,,,,,,,,,,32.06690066600095,['lshift'],[0.3902948340000876],,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
88.0,l1,f,sp,na,../audio/088.wav,,l1_f_sp_na_088,,,,,,,../image/book.png,../image/cellphone.png,book,,1,book,cellphone,book,cellphone,l,None,,,,,,,,,0,43,43,27,,,,,,,,,,,,32.49883795800088,['lshift'],[0.3830819179984246],,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
82.0,l1,f,se,na,../audio/082.wav,,l1_f_se_na_082,,,,,,,../image/mickeymouse.png,../image/spongebob.png,mickeymouse,,1,mickeymouse,spongebob,mickeymouse,spongebob,l,None,,,,,,,,,0,44,44,21,,,,,,,,,,,,32.9327301250014,['lshift'],[0.36531066699899384],,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
92.0,l1,f,sp,na,../audio/092.wav,,l1_f_sp_na_092,,,,,,,../image/armchair.png,../image/dog.png,armchair,,1,armchair,dog,armchair,dog,l,None,,,,,,,,,0,45,45,31,,,,,,,,,,,,33.35093300000153,['lshift'],[0.39020162599990726],,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
76.0,l1,f,se,na,../audio/076.wav,,l1_f_se_na_076,,,,,,,../image/hotdog.png,../image/burger.png,hotdog,,1,hotdog,burger,hotdog,burger,l,None,,,,,,,,,0,46,46,15,,,,,,,,,,,,33.79567695800142,['lshift'],[0.38711445899934915],,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
83.0,l1,f,se,na,../audio/083.wav,,l1_f_se_na_083,,,,,,,../image/donut.png,../image/burger.png,burger,,1,burger,donut,donut,burger,r,None,,,,,,,,,0,47,47,22,,,,,,,,,,,,34.23543179100125,['lshift'],[0.4340632919993368],,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
67.0,l1,f,en,na,../audio/067.wav,,l1_f_en_na_067,,,,,,,../image/beer.png,../image/glasses.png,glasses,,1,glasses,beer,beer,glasses,r,None,,,,,,,,,0,48,48,6,,,,,,,,,,,,34.71165995800038,['lshift'],[0.46267612499832467],,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
71.0,l1,f,en,na,../audio/071.wav,,l1_f_en_na_071,,,,,,,../image/wallet.png,../image/plane.png,plane,,1,plane,wallet,wallet,plane,r,None,,,,,,,,,0,49,49,10,,,,,,,,,,,,35.224201125000036,['lshift'],[0.375431626000136],,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
85.0,l1,f,se,na,../audio/085.wav,,l1_f_se_na_085,,,,,,,../image/loafers.png,../image/sneakers.png,sneakers,,1,sneakers,loafers,loafers,sneakers,r,None,,,,,,,,,0,50,50,24,,,,,,,,,,,,35.651412333001645,['lshift'],[0.4603724999997212],,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
137.0,l1,t,es,f0u,../audio/137.wav,,l1_t_es_f0u_137,,,,,,,../image/jacket.png,../image/shirt.png,jacket,,1,jacket,shirt,jacket,shirt,l,None,,,,,,,,,0,51,51,51,,,,,,,,,,,,36.1573877080009,['lshift'],[0.49108566799986875],,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
79.0,l1,f,se,na,../audio/079.wav,,l1_f_se_na_079,,,,,,,../image/sweatpants.png,../image/jeans.png,jeans,,1,jeans,sweatpants,sweatpants,jeans,r,None,,,,,,,,,0,52,52,18,,,,,,,,,,,,36.69486350000079,['lshift'],[0.5158393759993487],,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
63.0,l1,f,en,na,../audio/063.wav,,l1_f_en_na_063,,,,,,,../image/woman.png,../image/man.png,man,,1,man,woman,woman,man,r,None,,,,,,,,,0,53,53,2,,,,,,,,,,,,37.257801333000316,['lshift'],[0.6701910419997148],,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
20.0,l1,t,es,na,../audio/020.wav,,l1_t_es_na_020,,,,,,,../image/cellphone.png,../image/backpack.png,backpack,,1,backpack,cellphone,cellphone,backpack,r,None,,,,,,,,,0,54,54,44,,,,,,,,,,,,37.97777279100046,['lshift'],[0.5814427089990204],,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
