num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp_num,image,image_alt,left_img,right_img,image_dir,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp1_trial_key.started,exp1_trial_sound.started,exp1_trial_key.keys,exp1_trial_key.rt,exp1_key.started,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp1_sound.started,exp2_trial_key.started,exp2_trial_sound.started,exp2_trial_key.keys,exp2_trial_key.rt,participant,session,date,expName,psychopyVersion,frameRate,
tr6,lt,tr,se,na,../practice_trial/audio/tr6.wav,¿Cuándo compraste tu sweater?,lt_tr_se_na_tr6,-,-,-,-,-,-,../image/chair.png,../image/sweater.png,sweater,rshift,,,,,,,2,0,2,0,0,5,5,5,,,,,,,,,,,,,427.1777070829412,,['lshift'],[0.09593833412509412],,,,,,,,,,RAP,001,2023-04-26_12h25.52.192,exp_g1,2022.2.5,122.42636816676976,
tr7,lt,tr,es,na,../practice_trial/audio/tr7.wav,Why do you have my camisa?,lt_tr_es_na_tr7,-,-,-,-,-,-,../image/shirt.png,../image/wallet.png,shirt,lshift,,,,,,,2,0,2,0,0,6,6,6,,,,,,,,,,,,,427.3050118749961,,['rshift'],[0.0412164170993492],,,,,,,,,,RAP,001,2023-04-26_12h25.52.192,exp_g1,2022.2.5,122.42636816676976,
tr8,lt,tr,es,na,../practice_trial/audio/tr8.wav,Where did you find his chanclas?,lt_tr_es_na_tr8,-,-,-,-,-,-,../image/key.png,../image/flipflops.png,flipflops,rshift,,,,,,,2,0,2,0,0,7,7,7,,,,,,,,,,,,,427.377595540951,,['lshift'],[0.09034212515689433],,,,,,,,,,RAP,001,2023-04-26_12h25.52.192,exp_g1,2022.2.5,122.42636816676976,
,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAP,001,2023-04-26_12h25.52.192,exp_g1,2022.2.5,122.42636816676976,
86.0,l1,f,sp,na,../audio/086.wav,,l1_f_sp_na_086,,,,,,,../image/plates.png,../image/glasses.png,plates,lshift,1,plates,glasses,plates,glasses,None,,,,,,,,,0,0,0,25,,,,,,,,,,,,,646.6298418749357,lshift,1,-44.984962623915635,,,,,,RAP,001,2023-04-26_12h25.52.192,exp_g1,2022.2.5,122.42636816676976,
91.0,l1,f,sp,na,../audio/091.wav,,l1_f_sp_na_091,,,,,,,../image/backpack.png,../image/bracelet.png,bracelet,rshift,1,bracelet,backpack,backpack,bracelet,None,,,,,,,,,0,1,1,30,,,,,,,,,,,,,646.6610594579251,rshift,1,2.574636416975409,647.6314849750022,,,,,RAP,001,2023-04-26_12h25.52.192,exp_g1,2022.2.5,122.42636816676976,
70.0,l1,f,en,na,../audio/070.wav,,l1_f_en_na_070,,,,,,,../image/computer.png,../image/bed.png,computer,lshift,1,computer,bed,computer,bed,None,,,,,,,,,0,2,2,9,,,,,,,,,,,,,649.2724963329965,lshift,1,3.089555959100835,650.2404352249694,,,,,RAP,001,2023-04-26_12h25.52.192,exp_g1,2022.2.5,122.42636816676976,
62.0,l1,f,en,na,../audio/062.wav,,l1_f_en_na_062,,,,,,,../image/shoe.png,../image/ring.png,shoe,lshift,1,shoe,ring,shoe,ring,None,,,,,,,,,0,3,3,1,,,,,,,,,,,,,652.3919381250162,lshift,1,1.8909438750706613,653.3647632659529,,,,,RAP,001,2023-04-26_12h25.52.192,exp_g1,2022.2.5,122.42636816676976,
71.0,l1,f,en,na,../audio/071.wav,,l1_f_en_na_071,,,,,,,../image/wallet.png,../image/plane.png,plane,rshift,1,plane,wallet,wallet,plane,None,,,,,,,,,0,4,4,10,,,,,,,,,,,,,654.3213764999527,rshift,1,2.7395455830264837,655.3043303499114,,,,,RAP,001,2023-04-26_12h25.52.192,exp_g1,2022.2.5,122.42636816676976,
133.0,l1,t,es,f0u,../audio/133.wav,,l1_t_es_f0u_133,,,,,,,../image/cellphone.png,../image/book.png,cellphone,lshift,1,cellphone,book,cellphone,book,None,,,,,,,,,0,5,5,47,,,,,,,,,,,,,657.0966764159966,lshift,1,2.5479748339857906,658.0743743499158,,,,,RAP,001,2023-04-26_12h25.52.192,exp_g1,2022.2.5,122.42636816676976,
