num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp_num,image,image_alt,left_img,right_img,image_dir,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp1_trial_key.started,exp1_trial_key.keys,exp1_trial_key.rt,exp1_key.started,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp2_trial_key.started,exp2_trial_sound.started,exp2_trial_key.stopped,participant,session,date,expName,psychopyVersion,frameRate,
94.0,l1,f,sp,na,../audio/094.wav,,l1_f_sp_na_094,,,,,,,../image/beer.png,../image/horchata.png,beer,rshift,1,beer,horchata,beer,horchata,None,,,,,,,,,0,7,7,33,,,,,,,,,,,,19.016674790997058,lshift,0,0.30533812600333476,,,,965154,001,2023-04-04_19h21.58.866,exp_g1,2022.2.5,None,
12.0,l1,t,es,na,../audio/012.wav,,l1_t_es_na_012,,,,,,,../image/newspaper.png,../image/book.png,book,lshift,1,book,newspaper,newspaper,book,None,,,,,,,,,0,8,8,36,,,,,,,,,,,,19.368515333000687,lshift,1,0.23753458400460659,,,,965154,001,2023-04-04_19h21.58.866,exp_g1,2022.2.5,None,
61.0,l1,f,en,na,../audio/061.wav,,l1_f_en_na_061,,,,,,,../image/cat.png,../image/dog.png,dog,rshift,1,dog,cat,cat,dog,../image/,,,,,,,,,0,9,9,0,,,,,,,,,,,,19.6498922499959,lshift,0,0.31219312499888474,,,,965154,001,2023-04-04_19h21.58.866,exp_g1,2022.2.5,None,
89.0,l1,f,sp,na,../audio/089.wav,,l1_f_sp_na_089,,,,,,,../image/bed.png,../image/wallet.png,wallet,lshift,1,wallet,bed,bed,wallet,None,,,,,,,,,0,10,10,28,,,,,,,,,,,,20.01735033300065,rshift,0,0.2760713330062572,,,,965154,001,2023-04-04_19h21.58.866,exp_g1,2022.2.5,None,
90.0,l1,f,sp,na,../audio/090.wav,,l1_f_sp_na_090,,,,,,,../image/bag.png,../image/bottle.png,bag,rshift,1,bag,bottle,bag,bottle,None,,,,,,,,,0,11,11,29,,,,,,,,,,,,20.339758540998446,lshift,0,0.2571649170058663,,,,965154,001,2023-04-04_19h21.58.866,exp_g1,2022.2.5,None,
95.0,l1,f,sp,na,../audio/095.wav,,l1_f_sp_na_095,,,,,,,../image/socks.png,../image/key.png,key,lshift,1,key,socks,socks,key,None,,,,,,,,,0,12,12,34,,,,,,,,,,,,20.6407751250008,rshift,0,0.3056188330083387,,,,965154,001,2023-04-04_19h21.58.866,exp_g1,2022.2.5,None,
67.0,l1,f,en,na,../audio/067.wav,,l1_f_en_na_067,,,,,,,../image/beer.png,../image/glasses.png,glasses,rshift,1,glasses,beer,beer,glasses,None,,,,,,,,,0,13,13,6,,,,,,,,,,,,20.989226457997574,lshift,0,0.2519210840036976,,,,965154,001,2023-04-04_19h21.58.866,exp_g1,2022.2.5,None,
20.0,l1,t,es,na,../audio/020.wav,,l1_t_es_na_020,,,,,,,../image/cellphone.png,../image/backpack.png,backpack,lshift,1,backpack,cellphone,cellphone,backpack,None,,,,,,,,,0,14,14,44,,,,,,,,,,,,21.28659399999742,rshift,0,0.2883531670013326,,,,965154,001,2023-04-04_19h21.58.866,exp_g1,2022.2.5,None,
80.0,l1,f,se,na,../audio/080.wav,,l1_f_se_na_080,,,,,,,../image/mouse.png,../image/rat.png,mouse,lshift,1,mouse,rat,mouse,rat,None,,,,,,,,,0,15,15,19,,,,,,,,,,,,21.617536874997313,lshift,1,0.24681170799885876,,,,965154,001,2023-04-04_19h21.58.866,exp_g1,2022.2.5,None,
17.0,l1,t,es,na,../audio/017.wav,,l1_t_es_na_017,,,,,,,../image/jug.png,../image/cat.png,jug,rshift,1,jug,cat,jug,cat,None,,,,,,,,,0,16,16,41,,,,,,,,,,,,21.90806658299698,rshift,1,0.2887941260050866,,,,965154,001,2023-04-04_19h21.58.866,exp_g1,2022.2.5,None,
91.0,l1,f,sp,na,../audio/091.wav,,l1_f_sp_na_091,,,,,,,../image/backpack.png,../image/bracelet.png,bracelet,lshift,1,bracelet,backpack,backpack,bracelet,None,,,,,,,,,0,17,17,30,,,,,,,,,,,,22.247951040997577,lshift,1,0.23823350000020582,,,,965154,001,2023-04-04_19h21.58.866,exp_g1,2022.2.5,None,
74.0,l1,f,en,na,../audio/074.wav,,l1_f_en_na_074,,,,,,,../image/boy.png,../image/woman.png,boy,lshift,1,boy,woman,boy,woman,None,,,,,,,,,0,18,18,13,,,,,,,,,,,,22.52756791599677,rshift,0,0.26880795900069643,,,,965154,001,2023-04-04_19h21.58.866,exp_g1,2022.2.5,None,
63.0,l1,f,en,na,../audio/063.wav,,l1_f_en_na_063,,,,,,,../image/woman.png,../image/man.png,man,rshift,1,man,woman,woman,man,None,,,,,,,,,0,19,19,2,,,,,,,,,,,,22.845050290998188,lshift,0,0.2522276259987848,,,,965154,001,2023-04-04_19h21.58.866,exp_g1,2022.2.5,None,
69.0,l1,f,en,na,../audio/069.wav,,l1_f_en_na_069,,,,,,,../image/bag.png,../image/shirt.png,shirt,rshift,1,shirt,bag,bag,shirt,None,,,,,,,,,0,20,20,8,,,,,,,,,,,,23.13825304099737,rshift,1,0.3036456670015468,,,,965154,001,2023-04-04_19h21.58.866,exp_g1,2022.2.5,None,
73.0,l1,f,en,na,../audio/073.wav,,l1_f_en_na_073,,,,,,,../image/socks.png,../image/tshirt.png,tshirt,rshift,1,tshirt,socks,socks,tshirt,None,,,,,,,,,0,21,21,12,,,,,,,,,,,,23.482761291001225,lshift,0,0.20587066699954448,,,,965154,001,2023-04-04_19h21.58.866,exp_g1,2022.2.5,None,
