...1,num,list,cond,lang,type,mat_dur,correct_key,exp_num,cs,exp1_key.keys,exp1_key.rt,exp1_key.corr,exp2_key.keys,exp2_key.rt,participant,group,prof
12,22,l2,TRUE,es,na,0.863963,rshift,1,NA,rshift,2.8365,1,NA,NA,6,exp_g2,-16
13,23,l2,TRUE,es,na,0.806296,lshift,1,NA,rshift,2.8278,0,NA,NA,6,exp_g2,-16
14,24,l2,TRUE,es,na,0.817267,rshift,1,NA,rshift,2.8472,1,NA,NA,6,exp_g2,-16
15,25,l2,TRUE,es,na,0.909694,lshift,1,NA,rshift,2.6368,0,NA,NA,6,exp_g2,-16
16,26,l2,TRUE,es,na,0.977641,rshift,1,NA,rshift,2.5987,1,NA,NA,6,exp_g2,-16
17,27,l2,TRUE,es,na,0.619246,lshift,1,NA,lshift,2.3653,1,NA,NA,6,exp_g2,-16
18,28,l2,TRUE,es,na,0.937816,rshift,1,NA,rshift,2.4808,1,NA,NA,6,exp_g2,-16
19,29,l2,TRUE,es,na,1.122001,lshift,1,NA,rshift,2.9284,0,NA,NA,6,exp_g2,-16
20,30,l2,TRUE,es,na,1.133667,rshift,1,NA,rshift,3.879,1,NA,NA,6,exp_g2,-16
21,61,l1,FALSE,en,na,-,NA,2,NA,NA,NA,NA,"[""lshift""]",[2.5651000000239037],6,exp_g2,-16
22,62,l1,FALSE,en,na,-,NA,2,NA,NA,NA,NA,"[""lshift""]",[2.2992999999523818],6,exp_g2,-16
23,63,l1,FALSE,en,na,0.351376,NA,2,NA,NA,NA,NA,"[""lshift""]",[1.9656999999284608],6,exp_g2,-16
24,64,l1,FALSE,en,na,0.428572,NA,2,NA,NA,NA,NA,"[""lshift""]",[2.6648999999761145],6,exp_g2,-16
25,65,l1,FALSE,en,na,-,NA,2,NA,NA,NA,NA,"[""lshift""]",[2.508000000000038],6,exp_g2,-16
26,66,l1,FALSE,en,na,0.780001,NA,2,NA,NA,NA,NA,"[""lshift""]",[3.194799999952238],6,exp_g2,-16
27,67,l1,FALSE,en,na,0.950804,NA,2,NA,NA,NA,NA,"[""lshift""]",[2.749600000023861],6,exp_g2,-16
28,68,l1,FALSE,en,na,0.600784,NA,2,NA,NA,NA,NA,"[""lshift"",""lshift"",""lshift"",""lshift""]","[0.21710000002371999,0.8666000000239364,1.83270000004768,2.4328999999761436]",6,exp_g2,-16
29,69,l1,FALSE,en,na,-,NA,2,NA,NA,NA,NA,"[""lshift""]",[2.6483000000714583],6,exp_g2,-16
30,70,l1,FALSE,en,na,-,NA,2,NA,NA,NA,NA,"[""lshift""]",[2.632100000023911],6,exp_g2,-16
