participant,group,list,cond,lang,type,num,exp_num,cs,response,rt1,rt2,lextale,lextale_z,mat_dur,rt_mat,rt_cs
065,exp_g1,l2,t,es,f0c,167,2,1,"['lshift', 'rshift']",1.498667792067863,2.453879542066716,2,-0.4977434334907143,1.0251250000000001,1.428754542066716,0.955211749998853
065,exp_g1,l2,t,es,f0c,164,2,1,"['lshift', 'rshift']",1.967941208044067,2.6350085410522297,2,-0.4977434334907143,0.69834375000000004,1.9366647910522297,0.6670673330081627
065,exp_g1,l2,t,es,na,028,2,1,"['lshift', 'rshift']",1.6363327910657972,2.427317625028081,2,-0.4977434334907143,0.93781599999999998,1.4895016250280808,0.7909848339622836
065,exp_g1,l2,t,es,na,025,2,1,"['lshift', 'rshift']",1.219341333140619,2.1818235410610214,2,-0.4977434334907143,0.909694,1.2721295410610214,0.9624822079204023
065,exp_g1,l2,t,es,na,030,2,1,"['lshift', 'rshift']",1.256660084007308,2.505818459088914,2,-0.4977434334907143,1.133667,1.3721514590889141,1.249158375081606
065,exp_g1,l2,t,es,f0c,168,2,1,"['lshift', 'rshift']",1.878284542122856,2.189802542096004,2,-0.4977434334907143,0.73899999999999999,1.450802542096004,0.3115179999731479
065,exp_g1,l2,t,es,f0c,170,2,1,"['lshift', 'rshift']",1.3720943329390138,2.1486593750305474,2,-0.4977434334907143,0.82653125000000005,1.3221281250305474,0.7765650420915335
065,exp_g1,l2,t,es,f0c,161,2,1,"['lshift', 'rshift']",1.4710103750694543,2.1672326660482213,2,-0.4977434334907143,0.75509375000000001,1.4121389160482214,0.696222290978767
065,exp_g1,l2,t,es,na,021,2,1,"['lshift', 'rshift']",1.4021329999668524,2.301102875033393,2,-0.4977434334907143,0.70402100000000001,1.597081875033393,0.8989698750665407
065,exp_g1,l2,t,es,f0c,163,2,1,"['lshift', 'rshift']",2.030646041035652,3.094615082954988,2,-0.4977434334907143,1.5584687500000001,1.5361463329549878,1.0639690419193357
065,exp_g1,l2,t,es,na,023,2,1,"['lshift', 'rshift']",1.4335817500250414,2.4953123750165105,2,-0.4977434334907143,0.80629600000000001,1.6890163750165104,1.061730624991469
065,exp_g1,l2,t,es,na,026,2,1,"['lshift', 'rshift']",1.3035295420559123,2.515200500027277,2,-0.4977434334907143,0.97764099999999998,1.537559500027277,1.2116709579713647
068,exp_g1,l2,t,es,na,022,2,1,"['lshift', 'rshift']",1.410625541000627,2.219512208015658,1,-0.5727458686742466,0.86396300000000004,1.355549208015658,0.808886667015031
068,exp_g1,l2,t,es,f0c,161,2,1,"['lshift', 'rshift']",1.813712458009832,2.4529573330655694,1,-0.5727458686742466,0.75509375000000001,1.6978635830655695,0.6392448750557373
068,exp_g1,l2,t,es,f0c,168,2,1,"['lshift', 'rshift']",1.5553736239671707,2.5001145830610767,1,-0.5727458686742466,0.73899999999999999,1.7611145830610768,0.944740959093906
068,exp_g1,l2,t,es,na,024,2,1,"['lshift', 'rshift']",1.419456540956162,2.124641416012309,1,-0.5727458686742466,0.81726699999999997,1.3073744160123093,0.7051848750561471
068,exp_g1,l2,t,es,na,028,2,1,"['lshift', 'rshift']",1.2118508329149336,2.4439619159093127,1,-0.5727458686742466,0.93781599999999998,1.5061459159093127,1.232111082994379
068,exp_g1,l2,t,es,na,026,2,1,"['lshift', 'rshift']",1.443544208072126,2.517495125066489,1,-0.5727458686742466,0.97764099999999998,1.539854125066489,1.073950916994363
