participant,group,list,cond,lang,type,num,exp_num,cs,correct_key,response,rt,is_correct,source,lextale,lextale_z,mat_dur
068,exp_g1,l1,f,en,na,074,1,NA,lshift,lshift,1.4552364170348124,1,local,1,-0.5727458686742466,0.396484
068,exp_g1,l1,t,es,na,013,1,NA,lshift,rshift,2.0664679999112785,0,local,1,-0.5727458686742466,1.352093
068,exp_g1,l1,t,es,f0u,136,1,NA,rshift,rshift,2.496411208019592,1,local,1,-0.5727458686742466,0.97487500000000005
068,exp_g1,l1,t,es,f0u,134,1,NA,rshift,lshift,2.2138984579863026,0,local,1,-0.5727458686742466,0.91259374999999998
068,exp_g1,l1,f,en,na,066,1,NA,lshift,lshift,1.4713478329714165,1,local,1,-0.5727458686742466,0.78000100000000006
068,exp_g1,l1,f,en,na,063,1,NA,rshift,rshift,1.4159445410828813,1,local,1,-0.5727458686742466,0.35137600000000002
068,exp_g1,l1,f,en,na,071,1,NA,rshift,rshift,1.4439386250364632,1,local,1,-0.5727458686742466,1.2611289999999999
068,exp_g1,l1,t,es,na,019,1,NA,lshift,lshift,1.6839006660266598,1,local,1,-0.5727458686742466,1.44153
068,exp_g1,l1,t,es,na,016,1,NA,rshift,rshift,1.678890083002627,1,local,1,-0.5727458686742466,1.6949019999999999
068,exp_g1,l1,t,es,f0u,137,1,NA,lshift,lshift,1.6373043750943617,1,local,1,-0.5727458686742466,0.63512500000000005
068,exp_g1,l1,t,es,f0u,133,1,NA,lshift,lshift,1.777874708033167,1,local,1,-0.5727458686742466,0.77825
068,exp_g1,l1,f,en,na,068,1,NA,lshift,lshift,1.8017555000353456,1,local,1,-0.5727458686742466,0.60078399999999998
068,exp_g1,l1,t,es,na,014,1,NA,rshift,rshift,1.8585471239998566,1,local,1,-0.5727458686742466,0.78868499999999997
028,exp_g2,l2,f,en,na,102,1,NA,rshift,rshift,1.0143881249748916,1,local,3,-0.422740998307182,1.0211049999999999
028,exp_g2,l2,t,es,na,027,1,NA,lshift,lshift,1.3276900000221057,1,local,3,-0.422740998307182,0.61924599999999996
028,exp_g2,l2,f,en,na,106,1,NA,rshift,rshift,1.3908916249343306,1,local,3,-0.422740998307182,1.203962
028,exp_g2,l2,t,es,f0u,149,1,NA,lshift,lshift,1.436851249990985,1,local,3,-0.422740998307182,1.2804374999999999
028,exp_g2,l2,t,es,f0u,145,1,NA,lshift,lshift,1.2159836659673604,1,local,3,-0.422740998307182,0.82499999999999996
028,exp_g2,l2,t,es,na,023,1,NA,lshift,lshift,1.405416332908064,1,local,3,-0.422740998307182,0.80629600000000001
028,exp_g2,l2,f,en,na,098,1,NA,rshift,rshift,1.6582773340279162,1,local,3,-0.422740998307182,0.37614199999999998
028,exp_g2,l2,f,en,na,108,1,NA,rshift,rshift,3.064781000002399,1,local,3,-0.422740998307182,0.81899500000000003
028,exp_g2,l2,t,es,f0u,148,1,NA,rshift,rshift,2.2386805829023944,1,local,3,-0.422740998307182,0.73899999999999999
028,exp_g2,l2,t,es,f0u,144,1,NA,rshift,rshift,1.933590374976397,1,local,3,-0.422740998307182,0.69834375000000004
028,exp_g2,l2,f,en,na,103,1,NA,lshift,lshift,1.4761489999776707,1,local,3,-0.422740998307182,0.59492500000000004
028,exp_g2,l2,f,en,na,107,1,NA,lshift,lshift,1.38926379197903,1,local,3,-0.422740998307182,0.74009499999999995
028,exp_g2,l2,f,en,na,110,1,NA,rshift,rshift,1.4035398329337387,1,local,3,-0.422740998307182,0.97327799999999998
028,exp_g2,l2,t,es,na,026,1,NA,rshift,rshift,1.340842958952129,1,local,3,-0.422740998307182,0.97764099999999998
028,exp_g2,l2,f,en,na,099,1,NA,lshift,lshift,1.0320618329553681,1,local,3,-0.422740998307182,0.46240500000000001
028,exp_g2,l2,t,es,f0u,146,1,NA,rshift,rshift,1.3866134169958533,1,local,3,-0.422740998307182,1.6362812499999999
028,exp_g2,l2,f,en,na,109,1,NA,lshift,lshift,1.3173605830753892,1,local,3,-0.422740998307182,0.34409699999999999
028,exp_g2,l2,t,es,f0u,141,1,NA,lshift,lshift,1.2885990000413732,1,local,3,-0.422740998307182,0.75509375000000001
028,exp_g2,l2,t,es,na,022,1,NA,rshift,rshift,1.154750291967288,1,local,3,-0.422740998307182,0.86396300000000004
028,exp_g2,l2,t,es,na,028,1,NA,rshift,rshift,1.0150615829821825,1,local,3,-0.422740998307182,0.93781599999999998
028,exp_g2,l2,t,es,na,030,1,NA,rshift,rshift,1.3352750000649989,1,local,3,-0.422740998307182,1.133667
028,exp_g2,l2,t,es,na,021,1,NA,lshift,lshift,1.482419792051144,1,local,3,-0.422740998307182,0.70402100000000001
028,exp_g2,l2,f,en,na,101,1,NA,lshift,lshift,1.153650916955605,1,local,3,-0.422740998307182,0.92448399999999997
028,exp_g2,l2,t,es,f0u,150,1,NA,rshift,lshift,0.9775629170769823,0,local,3,-0.422740998307182,0.82653125000000005
006,exp_g2,l2,t,es,na,029,1,NA,lshift,rshift,1.8063989999999999,0,local,-16,-1.8477872667942958,1.122001
006,exp_g2,l1,t,es,f0c,153,1,NA,lshift,rshift,2.12205,0,local,-16,-1.8477872667942958,0.77825
006,exp_g2,l2,t,es,na,028,1,NA,rshift,rshift,1.542984,1,local,-16,-1.8477872667942958,0.93781599999999998
006,exp_g2,l1,t,es,f0c,158,1,NA,rshift,rshift,2.3178875,1,local,-16,-1.8477872667942958,0.97081249999999997
006,exp_g2,l2,t,es,na,022,1,NA,rshift,rshift,1.972537,1,local,-16,-1.8477872667942958,0.86396300000000004
006,exp_g2,l1,t,es,f0c,152,1,NA,rshift,rshift,1.7874187499999998,1,local,-16,-1.8477872667942958,0.92128125000000005
006,exp_g2,l2,t,es,na,021,1,NA,lshift,lshift,1.7644790000000001,1,local,-16,-1.8477872667942958,0.70402100000000001
006,exp_g2,l1,t,es,f0c,157,1,NA,lshift,lshift,1.828275,1,local,-16,-1.8477872667942958,0.63512500000000005
006,exp_g2,l1,t,es,f0c,160,1,NA,rshift,rshift,1.858375,1,local,-16,-1.8477872667942958,1.108625
006,exp_g2,l1,t,es,f0c,154,1,NA,rshift,lshift,2.17700625,0,local,-16,-1.8477872667942958,0.91259374999999998
006,exp_g2,l2,t,es,na,026,1,NA,rshift,rshift,1.621059,1,local,-16,-1.8477872667942958,0.97764099999999998
006,exp_g2,l2,t,es,na,025,1,NA,lshift,rshift,1.727106,0,local,-16,-1.8477872667942958,0.909694
006,exp_g2,l1,t,es,f0c,155,1,NA,lshift,lshift,1.6507,1,local,-16,-1.8477872667942958,0.85950000000000004
006,exp_g2,l2,f,en,na,101,1,NA,lshift,lshift,1.5456159999999999,1,local,-16,-1.8477872667942958,0.92448399999999997
006,exp_g2,l1,t,es,f0c,159,1,NA,lshift,lshift,1.8936624999999998,1,local,-16,-1.8477872667942958,1.1799375000000001
006,exp_g2,l2,f,en,na,098,1,NA,rshift,rshift,1.905458,1,local,-16,-1.8477872667942958,0.37614199999999998
006,exp_g2,l1,t,es,f0c,151,1,NA,lshift,lshift,1.7830624999999998,1,local,-16,-1.8477872667942958,0.78843750000000001
006,exp_g2,l2,f,en,na,106,1,NA,rshift,rshift,1.616338,1,local,-16,-1.8477872667942958,1.203962
006,exp_g2,l2,f,en,na,102,1,NA,rshift,rshift,1.566995,1,local,-16,-1.8477872667942958,1.0211049999999999
006,exp_g2,l2,f,en,na,107,1,NA,lshift,lshift,2.0646050000000002,1,local,-16,-1.8477872667942958,0.74009499999999995
006,exp_g2,l2,f,en,na,108,1,NA,rshift,rshift,1.774505,1,local,-16,-1.8477872667942958,0.81899500000000003
006,exp_g2,l1,t,es,f0c,156,1,NA,rshift,rshift,2.488225,1,local,-16,-1.8477872667942958,0.97487500000000005
006,exp_g2,l2,t,es,na,030,1,NA,rshift,rshift,2.745333,1,local,-16,-1.8477872667942958,1.133667
006,exp_g2,l2,f,en,na,099,1,NA,lshift,lshift,1.505595,1,local,-16,-1.8477872667942958,0.46240500000000001
006,exp_g2,l2,f,en,na,103,1,NA,lshift,lshift,1.5229750000000002,1,local,-16,-1.8477872667942958,0.59492500000000004
006,exp_g2,l2,t,es,na,027,1,NA,lshift,lshift,1.746054,1,local,-16,-1.8477872667942958,0.61924599999999996
006,exp_g2,l2,f,en,na,109,1,NA,lshift,lshift,1.6798029999999997,1,local,-16,-1.8477872667942958,0.34409699999999999
