participant,lt_std,...1,num,list,cond,lang,type,mat_dur,exp1_key.keys,exp1_key.rt,exp1_key.corr,cor_rate,group,prof,rt
65,-0.4977434334907143,21,133,l1,TRUE,es,f0u,0.77825,lshift,2.667171584,1,0.9,exp_g1,2,1.888921584
65,-0.4977434334907143,22,135,l1,TRUE,es,f0u,0.8595,lshift,2.234045375,1,0.9,exp_g1,2,1.374545375
65,-0.4977434334907143,23,136,l1,TRUE,es,f0u,0.974875,rshift,2.865509875,1,0.9,exp_g1,2,1.890634875
65,-0.4977434334907143,24,137,l1,TRUE,es,f0u,0.635125,lshift,2.0827295,1,0.9,exp_g1,2,1.4476045
65,-0.4977434334907143,25,138,l1,TRUE,es,f0u,0.9708125,rshift,2.561772208,1,0.9,exp_g1,2,1.590959708
65,-0.4977434334907143,26,139,l1,TRUE,es,f0u,1.1799375,lshift,2.774440792,1,0.9,exp_g1,2,1.594503292
65,-0.4977434334907143,27,140,l1,TRUE,es,f0u,1.108625,rshift,2.9927785,1,0.9,exp_g1,2,1.8841535
68,-0.5727458686742466,1,11,l1,TRUE,es,na,0.944375,lshift,2.666977374,1,0.833333333333333,exp_g1,1,1.722602374
68,-0.5727458686742466,2,12,l1,TRUE,es,na,0.823703,rshift,2.855989583,1,0.833333333333333,exp_g1,1,2.032286583
68,-0.5727458686742466,3,14,l1,TRUE,es,na,0.788685,rshift,2.647232124,1,0.833333333333333,exp_g1,1,1.858547124
68,-0.5727458686742466,4,15,l1,TRUE,es,na,0.882114,lshift,4.833840916,1,0.833333333333333,exp_g1,1,3.951726916
68,-0.5727458686742466,5,16,l1,TRUE,es,na,1.694902,rshift,3.373792083,1,0.833333333333333,exp_g1,1,1.678890083
68,-0.5727458686742466,6,17,l1,TRUE,es,na,1.328805,lshift,3.812655833,1,0.833333333333333,exp_g1,1,2.483850833
68,-0.5727458686742466,7,19,l1,TRUE,es,na,1.44153,lshift,3.125430666,1,0.833333333333333,exp_g1,1,1.683900666
68,-0.5727458686742466,8,63,l1,FALSE,en,na,0.351376,rshift,1.767320541,1,0.833333333333333,exp_g1,1,1.415944541
68,-0.5727458686742466,9,64,l1,FALSE,en,na,0.428572,lshift,2.039571166,1,0.833333333333333,exp_g1,1,1.610999166
68,-0.5727458686742466,10,66,l1,FALSE,en,na,0.78000100000000006,lshift,2.251348833,1,0.833333333333333,exp_g1,1,1.471347833
68,-0.5727458686742466,11,67,l1,FALSE,en,na,0.950804,rshift,2.491859833,1,0.833333333333333,exp_g1,1,1.541055833
68,-0.5727458686742466,12,68,l1,FALSE,en,na,0.600784,lshift,2.4025395,1,0.833333333333333,exp_g1,1,1.8017555
68,-0.5727458686742466,13,71,l1,FALSE,en,na,1.261129,rshift,2.705067625,1,0.833333333333333,exp_g1,1,1.443938625
68,-0.5727458686742466,14,72,l1,FALSE,en,na,0.83156,lshift,2.23053975,1,0.833333333333333,exp_g1,1,1.39897975
68,-0.5727458686742466,15,73,l1,FALSE,en,na,0.877576,rshift,2.304684875,1,0.833333333333333,exp_g1,1,1.427108875
68,-0.5727458686742466,16,74,l1,FALSE,en,na,0.396484,lshift,1.851720417,1,0.833333333333333,exp_g1,1,1.455236417
68,-0.5727458686742466,17,75,l1,FALSE,en,na,0.913493,rshift,2.440931833,1,0.833333333333333,exp_g1,1,1.527438833
68,-0.5727458686742466,18,131,l1,TRUE,es,f0u,0.7884375,lshift,3.436666167,1,0.833333333333333,exp_g1,1,2.648228667
68,-0.5727458686742466,19,132,l1,TRUE,es,f0u,0.92128125,rshift,2.553308083,1,0.833333333333333,exp_g1,1,1.632026833
68,-0.5727458686742466,20,133,l1,TRUE,es,f0u,0.77825,lshift,2.556124708,1,0.833333333333333,exp_g1,1,1.777874708
68,-0.5727458686742466,21,135,l1,TRUE,es,f0u,0.8595,lshift,2.400553999,1,0.833333333333333,exp_g1,1,1.541053999
68,-0.5727458686742466,22,136,l1,TRUE,es,f0u,0.974875,rshift,3.471286208,1,0.833333333333333,exp_g1,1,2.496411208
68,-0.5727458686742466,23,137,l1,TRUE,es,f0u,0.635125,lshift,2.272429375,1,0.833333333333333,exp_g1,1,1.637304375
68,-0.5727458686742466,24,138,l1,TRUE,es,f0u,0.9708125,rshift,3.201570541,1,0.833333333333333,exp_g1,1,2.230758041
68,-0.5727458686742466,25,139,l1,TRUE,es,f0u,1.1799375,lshift,2.843328583,1,0.833333333333333,exp_g1,1,1.663391083
28,-0.422740998307182,1,21,l2,TRUE,es,na,0.704021,lshift,2.186440792,1,0.766666666666667,exp_g2,3,1.482419792
28,-0.422740998307182,2,22,l2,TRUE,es,na,0.863963,rshift,2.018713292,1,0.766666666666667,exp_g2,3,1.154750292
28,-0.422740998307182,3,23,l2,TRUE,es,na,0.806296,lshift,2.211712333,1,0.766666666666667,exp_g2,3,1.405416333
28,-0.422740998307182,4,26,l2,TRUE,es,na,0.977641,rshift,2.318483959,1,0.766666666666667,exp_g2,3,1.340842959
28,-0.422740998307182,5,27,l2,TRUE,es,na,0.619246,lshift,1.946936,1,0.766666666666667,exp_g2,3,1.32769
28,-0.422740998307182,6,28,l2,TRUE,es,na,0.937816,rshift,1.952877583,1,0.766666666666667,exp_g2,3,1.015061583
28,-0.422740998307182,7,30,l2,TRUE,es,na,1.133667,rshift,2.468942,1,0.766666666666667,exp_g2,3,1.335275
28,-0.422740998307182,8,98,l2,FALSE,en,na,0.376142,rshift,2.034419334,1,0.766666666666667,exp_g2,3,1.658277334
28,-0.422740998307182,9,99,l2,FALSE,en,na,0.462405,lshift,1.494466833,1,0.766666666666667,exp_g2,3,1.032061833
28,-0.422740998307182,10,101,l2,FALSE,en,na,0.924484,lshift,2.078134917,1,0.766666666666667,exp_g2,3,1.153650917
28,-0.422740998307182,11,102,l2,FALSE,en,na,1.021105,rshift,2.035493125,1,0.766666666666667,exp_g2,3,1.014388125
28,-0.422740998307182,12,103,l2,FALSE,en,na,0.594925,lshift,2.071074,1,0.766666666666667,exp_g2,3,1.476149
28,-0.422740998307182,13,106,l2,FALSE,en,na,1.203962,rshift,2.594853625,1,0.766666666666667,exp_g2,3,1.390891625
28,-0.422740998307182,14,107,l2,FALSE,en,na,0.740095,lshift,2.129358792,1,0.766666666666667,exp_g2,3,1.389263792
28,-0.422740998307182,15,108,l2,FALSE,en,na,0.818995,rshift,3.883776,1,0.766666666666667,exp_g2,3,3.064781
28,-0.422740998307182,16,109,l2,FALSE,en,na,0.344097,lshift,1.661457583,1,0.766666666666667,exp_g2,3,1.317360583
28,-0.422740998307182,17,110,l2,FALSE,en,na,0.973278,rshift,2.376817833,1,0.766666666666667,exp_g2,3,1.403539833
28,-0.422740998307182,18,141,l2,TRUE,es,f0u,0.75509375,lshift,2.04369275,1,0.766666666666667,exp_g2,3,1.288599
28,-0.422740998307182,19,144,l2,TRUE,es,f0u,0.69834375,rshift,2.631934125,1,0.766666666666667,exp_g2,3,1.933590375
28,-0.422740998307182,20,145,l2,TRUE,es,f0u,0.825,lshift,2.040983666,1,0.766666666666667,exp_g2,3,1.215983666
28,-0.422740998307182,21,146,l2,TRUE,es,f0u,1.63628125,rshift,3.022894667,1,0.766666666666667,exp_g2,3,1.386613417
28,-0.422740998307182,22,148,l2,TRUE,es,f0u,0.739,rshift,2.977680583,1,0.766666666666667,exp_g2,3,2.238680583
28,-0.422740998307182,23,149,l2,TRUE,es,f0u,1.2804375,lshift,2.71728875,1,0.766666666666667,exp_g2,3,1.43685125
21,3.102373455318837,1,11,l1,TRUE,es,na,0.944375,lshift,3.631,1,1,exp_g1,50,2.686625
21,3.102373455318837,2,12,l1,TRUE,es,na,0.823703,rshift,2.1439,1,1,exp_g1,50,1.320197
21,3.102373455318837,3,13,l1,TRUE,es,na,1.352093,lshift,2.4242,1,1,exp_g1,50,1.072107
21,3.102373455318837,4,14,l1,TRUE,es,na,0.788685,rshift,2.1454,1,1,exp_g1,50,1.356715
21,3.102373455318837,5,15,l1,TRUE,es,na,0.882114,lshift,2.3008,1,1,exp_g1,50,1.418686
21,3.102373455318837,6,16,l1,TRUE,es,na,1.694902,rshift,2.8799,1,1,exp_g1,50,1.184998
21,3.102373455318837,7,17,l1,TRUE,es,na,1.328805,lshift,2.6615,1,1,exp_g1,50,1.332695
21,3.102373455318837,8,18,l1,TRUE,es,na,0.900375,rshift,2.3636,1,1,exp_g1,50,1.463225
21,3.102373455318837,9,19,l1,TRUE,es,na,1.44153,lshift,2.78,1,1,exp_g1,50,1.33847
21,3.102373455318837,10,20,l1,TRUE,es,na,0.99676,rshift,2.3985,1,1,exp_g1,50,1.40174
21,3.102373455318837,11,63,l1,FALSE,en,na,0.351376,rshift,1.7298,1,1,exp_g1,50,1.378424
21,3.102373455318837,12,64,l1,FALSE,en,na,0.428572,lshift,1.6783,1,1,exp_g1,50,1.249728
21,3.102373455318837,13,66,l1,FALSE,en,na,0.78000100000000006,lshift,2.0605,1,1,exp_g1,50,1.280499
21,3.102373455318837,14,67,l1,FALSE,en,na,0.950804,rshift,2.1114,1,1,exp_g1,50,1.160596
21,3.102373455318837,15,68,l1,FALSE,en,na,0.600784,lshift,2.1106,1,1,exp_g1,50,1.509816
21,3.102373455318837,16,71,l1,FALSE,en,na,1.261129,rshift,2.6437,1,1,exp_g1,50,1.382571
21,3.102373455318837,17,72,l1,FALSE,en,na,0.83156,lshift,1.9341,1,1,exp_g1,50,1.10254
21,3.102373455318837,18,73,l1,FALSE,en,na,0.877576,rshift,2.0781,1,1,exp_g1,50,1.200524
21,3.102373455318837,19,74,l1,FALSE,en,na,0.396484,lshift,1.7133,1,1,exp_g1,50,1.316816
21,3.102373455318837,20,75,l1,FALSE,en,na,0.913493,rshift,2.1633,1,1,exp_g1,50,1.249807
21,3.102373455318837,21,131,l1,TRUE,es,f0u,0.7884375,lshift,1.9173,1,1,exp_g1,50,1.1288625
21,3.102373455318837,22,132,l1,TRUE,es,f0u,0.92128125,rshift,2.2807,1,1,exp_g1,50,1.35941875
21,3.102373455318837,23,133,l1,TRUE,es,f0u,0.77825,lshift,2.2766,1,1,exp_g1,50,1.49835
21,3.102373455318837,24,134,l1,TRUE,es,f0u,0.91259375,rshift,2.3233,1,1,exp_g1,50,1.41070625
21,3.102373455318837,25,135,l1,TRUE,es,f0u,0.8595,lshift,2.1342,1,1,exp_g1,50,1.2747
21,3.102373455318837,26,136,l1,TRUE,es,f0u,0.974875,rshift,2.3907,1,1,exp_g1,50,1.415825
21,3.102373455318837,27,137,l1,TRUE,es,f0u,0.635125,lshift,2.1981,1,1,exp_g1,50,1.562975
21,3.102373455318837,28,138,l1,TRUE,es,f0u,0.9708125,rshift,2.3004,1,1,exp_g1,50,1.3295875
21,3.102373455318837,29,139,l1,TRUE,es,f0u,1.1799375,lshift,2.6248,1,1,exp_g1,50,1.4448625
21,3.102373455318837,30,140,l1,TRUE,es,f0u,1.108625,rshift,2.4481,1,1,exp_g1,50,1.339475
73,-0.12273125757305277,1,21,l2,TRUE,es,na,0.704021,lshift,2.319,1,1,exp_g2,7,1.614979
73,-0.12273125757305277,2,22,l2,TRUE,es,na,0.863963,rshift,2.231,1,1,exp_g2,7,1.367037
73,-0.12273125757305277,3,23,l2,TRUE,es,na,0.806296,lshift,2.219,1,1,exp_g2,7,1.412704
73,-0.12273125757305277,4,24,l2,TRUE,es,na,0.817267,rshift,2.745,1,1,exp_g2,7,1.927733
73,-0.12273125757305277,5,25,l2,TRUE,es,na,0.909694,lshift,2.502,1,1,exp_g2,7,1.592306
73,-0.12273125757305277,6,26,l2,TRUE,es,na,0.977641,rshift,2.377,1,1,exp_g2,7,1.399359
73,-0.12273125757305277,7,27,l2,TRUE,es,na,0.619246,lshift,2.149,1,1,exp_g2,7,1.529754
73,-0.12273125757305277,8,28,l2,TRUE,es,na,0.937816,rshift,2.373,1,1,exp_g2,7,1.435184
73,-0.12273125757305277,9,29,l2,TRUE,es,na,1.122001,lshift,3.139,1,1,exp_g2,7,2.016999
73,-0.12273125757305277,10,30,l2,TRUE,es,na,1.133667,rshift,2.688,1,1,exp_g2,7,1.554333
