...1,num,list,cond,lang,type,mat_dur,exp_num,participant,group,prof,cor_rate,rt_cs,rt_mat
5,15,l1,TRUE,es,na,0.882114,2,58,exp_g2,3,0.666666666666667,0.717700000002992,1.66718600000445
6,16,l1,TRUE,es,na,1.694902,2,58,exp_g2,3,0.666666666666667,1.74200000000008,1.55759800000005
7,17,l1,TRUE,es,na,1.328805,2,58,exp_g2,3,0.666666666666667,1.24680000000444,1.37049500000454
8,18,l1,TRUE,es,na,0.900375,2,58,exp_g2,3,0.666666666666667,1.10630000000447,1.6627250000015
9,19,l1,TRUE,es,na,1.44153,2,58,exp_g2,3,0.666666666666667,1.19760000000144,1.57057000000145
10,20,l1,TRUE,es,na,0.99676,2,58,exp_g2,3,0.666666666666667,0.967799999997055,1.63574000000005
11,141,l2,TRUE,es,f0u,0.75509375,2,58,exp_g2,3,0.666666666666667,0.41889999999853,1.87690625000006
12,142,l2,TRUE,es,f0u,0.73509375,2,58,exp_g2,3,0.666666666666667,0.784600000001547,1.90080624999851
13,143,l2,TRUE,es,f0u,1.55846875,2,58,exp_g2,3,0.666666666666667,1.29979999999699,1.49043124999853
14,144,l2,TRUE,es,f0u,0.69834375,2,58,exp_g2,3,0.666666666666667,0.517800000004513,1.71685625000298
15,145,l2,TRUE,es,f0u,0.825,2,58,exp_g2,3,0.666666666666667,0.716900000005922,1.54430000000439
16,146,l2,TRUE,es,f0u,1.63628125,2,58,exp_g2,3,0.666666666666667,1.48320000000302,1.3788187500015
17,147,l2,TRUE,es,f0u,1.025125,2,58,exp_g2,3,0.666666666666667,1.19270000000302,1.58937500000002
18,148,l2,TRUE,es,f0u,0.739,2,58,exp_g2,3,0.666666666666667,0.267199999995568,1.65109999999405
19,149,l2,TRUE,es,f0u,1.2804375,2,58,exp_g2,3,0.666666666666667,1.22230000000445,1.57106249999999
20,150,l2,TRUE,es,f0u,0.82653125,2,58,exp_g2,3,0.666666666666667,0.870100000001571,1.70876875000455
1,12,l1,TRUE,es,na,0.823703,2,62,exp_g2,5,0.633333333333333,0.706300000011879,1.41669700003572
2,13,l1,TRUE,es,na,1.352093,2,62,exp_g2,5,0.633333333333333,1.28530000001189,1.28280700003577
3,14,l1,TRUE,es,na,0.788685,2,62,exp_g2,5,0.633333333333333,0.488600000023894,1.41671500003575
4,15,l1,TRUE,es,na,0.882114,2,62,exp_g2,5,0.633333333333333,0.921100000023898,1.33958599998812
5,16,l1,TRUE,es,na,1.694902,2,62,exp_g2,5,0.633333333333333,1.56550000000004,1.23969800002386
6,17,l1,TRUE,es,na,1.328805,2,62,exp_g2,5,0.633333333333333,1.06640000003574,1.13889500004767
7,18,l1,TRUE,es,na,0.900375,2,62,exp_g2,5,0.633333333333333,0.995300000011923,1.25382500004769
8,19,l1,TRUE,es,na,1.44153,2,62,exp_g2,5,0.633333333333333,1.3913999999761,1.30186999997608
9,20,l1,TRUE,es,na,0.99676,2,62,exp_g2,5,0.633333333333333,0.521300000011933,1.4924399999881
10,141,l2,TRUE,es,f0u,0.75509375,2,62,exp_g2,5,0.633333333333333,0.444800000011924,1.37910624998814
11,142,l2,TRUE,es,f0u,0.73509375,2,62,exp_g2,5,0.633333333333333,0.519999999999982,1.28380624997616
12,143,l2,TRUE,es,f0u,1.55846875,2,62,exp_g2,5,0.633333333333333,1.53530000001194,1.36143124997611
13,144,l2,TRUE,es,f0u,0.69834375,2,62,exp_g2,5,0.633333333333333,0.316400000035742,1.44145625001192
14,145,l2,TRUE,es,f0u,0.825,2,62,exp_g2,5,0.633333333333333,0.557600000023854,1.24969999998807
15,146,l2,TRUE,es,f0u,1.63628125,2,62,exp_g2,5,0.633333333333333,1.23680000001195,1.07471875000001
16,147,l2,TRUE,es,f0u,1.025125,2,62,exp_g2,5,0.633333333333333,1,1.47667500001188
17,148,l2,TRUE,es,f0u,0.739,2,62,exp_g2,5,0.633333333333333,0.557500000000005,1.26839999997614
18,149,l2,TRUE,es,f0u,1.2804375,2,62,exp_g2,5,0.633333333333333,1.01789999997618,1.22146249997616
19,150,l2,TRUE,es,f0u,0.82653125,2,62,exp_g2,5,0.633333333333333,1.13180000001188,1.42396874999999
1,11,l1,TRUE,es,na,0.944375,2,64,exp_g2,6,0.6,1.09180000007154,2.94452499997616
2,12,l1,TRUE,es,na,0.823703,2,64,exp_g2,6,0.6,0.763300000071581,3.20579699999998
3,14,l1,TRUE,es,na,0.788685,2,64,exp_g2,6,0.6,0.613000000000057,2.1825150000477
4,15,l1,TRUE,es,na,0.882114,2,64,exp_g2,6,0.6,0.765699999928529,1.92708599992852
5,16,l1,TRUE,es,na,1.694902,2,64,exp_g2,6,0.6,1.83150000000001,1.51529799992848
6,17,l1,TRUE,es,na,1.328805,2,64,exp_g2,6,0.6,1.26140000009536,1.4959950000716
7,18,l1,TRUE,es,na,0.900375,2,64,exp_g2,6,0.6,1.24269999992839,1.78632499992846
8,19,l1,TRUE,es,na,1.44153,2,64,exp_g2,6,0.6,1.23839999997614,1.85967000004769
9,20,l1,TRUE,es,na,0.99676,2,64,exp_g2,6,0.6,0.926799999952323,1.96193999992851
10,141,l2,TRUE,es,f0u,0.75509375,2,64,exp_g2,6,0.6,0.780500000000074,1.73160625004768
11,142,l2,TRUE,es,f0u,0.73509375,2,64,exp_g2,6,0.6,0.629500000000007,2.38090624999999
12,143,l2,TRUE,es,f0u,1.55846875,2,64,exp_g2,6,0.6,1.99479999995231,1.7012312499285
13,144,l2,TRUE,es,f0u,0.69834375,2,64,exp_g2,6,0.6,0.470299999952317,1.78225625002386
14,145,l2,TRUE,es,f0u,0.825,2,64,exp_g2,6,0.6,1.09289999997611,1.70239999997613
15,147,l2,TRUE,es,f0u,1.025125,2,64,exp_g2,6,0.6,1.45160000002386,1.69377499997614
16,148,l2,TRUE,es,f0u,0.739,2,64,exp_g2,6,0.6,0.908999999999992,1.43350000000001
17,149,l2,TRUE,es,f0u,1.2804375,2,64,exp_g2,6,0.6,1.41260000002387,1.69936250007152
18,150,l2,TRUE,es,f0u,0.82653125,2,64,exp_g2,6,0.6,0.915899999976148,1.64696875
1,21,l2,TRUE,es,na,0.704021,2,65,exp_g1,2,0.933333333333333,0.898969875066541,1.59708187503339
2,22,l2,TRUE,es,na,0.863963,2,65,exp_g1,2,0.933333333333333,0.81380350003019,1.36822045805071
3,23,l2,TRUE,es,na,0.806296,2,65,exp_g1,2,0.933333333333333,1.06173062499147,1.68901637501651
4,24,l2,TRUE,es,na,0.817267,2,65,exp_g1,2,0.933333333333333,0.700891916989349,1.41271708402782
5,25,l2,TRUE,es,na,0.909694,2,65,exp_g1,2,0.933333333333333,0.962482207920402,1.27212954106102
6,26,l2,TRUE,es,na,0.977641,2,65,exp_g1,2,0.933333333333333,1.21167095797136,1.53755950002728
7,27,l2,TRUE,es,na,0.619246,2,65,exp_g1,2,0.933333333333333,0.617936959024519,1.32541233401773
8,28,l2,TRUE,es,na,0.937816,2,65,exp_g1,2,0.933333333333333,0.790984833962284,1.48950162502808
9,29,l2,TRUE,es,na,1.122001,2,65,exp_g1,2,0.933333333333333,1.29443170805462,1.43130458307469
10,30,l2,TRUE,es,na,1.133667,2,65,exp_g1,2,0.933333333333333,1.24915837508161,1.37215145908891
11,161,l2,TRUE,es,f0c,0.75509375,2,65,exp_g1,2,0.933333333333333,0.696222290978767,1.41213891604822
12,162,l2,TRUE,es,f0c,0.73509375,2,65,exp_g1,2,0.933333333333333,0.736371875042096,1.43593041709531
13,163,l2,TRUE,es,f0c,1.55846875,2,65,exp_g1,2,0.933333333333333,1.06396904191934,1.53614633295499
14,164,l2,TRUE,es,f0c,0.69834375,2,65,exp_g1,2,0.933333333333333,0.667067333008163,1.93666479105223
15,165,l2,TRUE,es,f0c,0.825,2,65,exp_g1,2,0.933333333333333,0.796575874905102,1.2726289579412
16,166,l2,TRUE,es,f0c,1.63628125,2,65,exp_g1,2,0.933333333333333,1.48677012498956,1.41940612501744
17,167,l2,TRUE,es,f0c,1.025125,2,65,exp_g1,2,0.933333333333333,0.955211749998853,1.42875454206672
18,168,l2,TRUE,es,f0c,0.739,2,65,exp_g1,2,0.933333333333333,0.311517999973148,1.450802542096
19,169,l2,TRUE,es,f0c,1.2804375,2,65,exp_g1,2,0.933333333333333,0.844791250070558,1.41506650006119
20,170,l2,TRUE,es,f0c,0.82653125,2,65,exp_g1,2,0.933333333333333,0.776565042091534,1.32212812503055
1,11,l1,TRUE,es,na,0.944375,2,67,exp_g2,-1,0.6,0.258500000000026,2.61702500000596
2,12,l1,TRUE,es,na,0.823703,2,67,exp_g2,-1,0.6,0.715300000011894,3.37729700000002
3,13,l1,TRUE,es,na,1.352093,2,67,exp_g2,-1,0.6,0.935599999993997,1.81580700000594
4,14,l1,TRUE,es,na,0.788685,2,67,exp_g2,-1,0.6,0.265199999988113,2.49321500000598
5,15,l1,TRUE,es,na,0.882114,2,67,exp_g2,-1,0.6,1.14759999999404,1.9895859999881
6,16,l1,TRUE,es,na,1.694902,2,67,exp_g2,-1,0.6,0.189400000005946,2.46169799999406
7,17,l1,TRUE,es,na,1.328805,2,67,exp_g2,-1,0.6,0.95140000000606,1.67529499999408
8,19,l1,TRUE,es,na,1.44153,2,67,exp_g2,-1,0.6,0.84619999998813,1.83956999999401
9,20,l1,TRUE,es,na,0.99676,2,67,exp_g2,-1,0.6,0.918000000000006,1.9570399999821
10,141,l2,TRUE,es,f0u,0.75509375,2,67,exp_g2,-1,0.6,0.773199999988037,1.79400624999404
11,142,l2,TRUE,es,f0u,0.73509375,2,67,exp_g2,-1,0.6,0.392800000011903,1.97430625000587
12,143,l2,TRUE,es,f0u,1.55846875,2,67,exp_g2,-1,0.6,1.52320000001782,1.80563125002377
13,145,l2,TRUE,es,f0u,0.825,2,67,exp_g2,-1,0.6,1.48709999999403,3.2149000000059
14,146,l2,TRUE,es,f0u,1.63628125,2,67,exp_g2,-1,0.6,1.2997999999821,1.65141874998804
15,147,l2,TRUE,es,f0u,1.025125,2,67,exp_g2,-1,0.6,0.302999999999997,1.97597499999404
