participant,lt_std,...1,num,list,cond,lang,type,mat_dur,exp_num,group,prof,cor_rate,rt_cs,rt_mat
91,0.02727361279401186,17,158,l1,TRUE,es,f0c,0.9708125,2,exp_g2,9,0.633333333333333,0.858399999856942,1.3416875
91,0.02727361279401186,18,159,l1,TRUE,es,f0c,1.1799375,2,exp_g2,9,0.633333333333333,1.56569999980928,1.71936249995229
91,0.02727361279401186,19,160,l1,TRUE,es,f0c,1.108625,2,exp_g2,9,0.633333333333333,1.21509999990462,1.69107499980926
70,1.6773271868317228,1,21,l2,TRUE,es,na,0.704021,2,exp_g1,31,0.633333333333333,0.984399999998573,1.48117899999558
70,1.6773271868317228,2,22,l2,TRUE,es,na,0.863963,2,exp_g1,31,0.633333333333333,0.881700000002979,1.8974369999985
70,1.6773271868317228,3,23,l2,TRUE,es,na,0.806296,2,exp_g1,31,0.633333333333333,0.388899999998557,1.74990400000295
70,1.6773271868317228,4,24,l2,TRUE,es,na,0.817267,2,exp_g1,31,0.633333333333333,1.05639999999858,1.41573300000006
70,1.6773271868317228,5,25,l2,TRUE,es,na,0.909694,2,exp_g1,31,0.633333333333333,0.68269999999552,1.42370599999851
70,1.6773271868317228,6,26,l2,TRUE,es,na,0.977641,2,exp_g1,31,0.633333333333333,0.495100000001458,1.33895900000147
70,1.6773271868317228,7,27,l2,TRUE,es,na,0.619246,2,exp_g1,31,0.633333333333333,0.59239999999852,1.44765399999844
70,1.6773271868317228,8,28,l2,TRUE,es,na,0.937816,2,exp_g1,31,0.633333333333333,0.902000000000044,1.44548399999701
70,1.6773271868317228,9,29,l2,TRUE,es,na,1.122001,2,exp_g1,31,0.633333333333333,1.05139999999858,1.46209899999412
70,1.6773271868317228,10,30,l2,TRUE,es,na,1.133667,2,exp_g1,31,0.633333333333333,0.205800000004501,1.97253300000301
70,1.6773271868317228,11,161,l2,TRUE,es,f0c,0.75509375,2,exp_g1,31,0.633333333333333,0.426100000001498,2.04560625000308
70,1.6773271868317228,12,162,l2,TRUE,es,f0c,0.73509375,2,exp_g1,31,0.633333333333333,0.199200000002975,1.75440625000002
70,1.6773271868317228,13,163,l2,TRUE,es,f0c,1.55846875,2,exp_g1,31,0.633333333333333,1.53380000000448,1.658731250003
70,1.6773271868317228,14,164,l2,TRUE,es,f0c,0.69834375,2,exp_g1,31,0.633333333333333,0.704499999999939,1.37455624999853
70,1.6773271868317228,15,165,l2,TRUE,es,f0c,0.825,2,exp_g1,31,0.633333333333333,0.131299999997054,1.37529999999701
70,1.6773271868317228,16,167,l2,TRUE,es,f0c,1.025125,2,exp_g1,31,0.633333333333333,1.51689999999849,1.69177499999853
70,1.6773271868317228,17,168,l2,TRUE,es,f0c,0.739,2,exp_g1,31,0.633333333333333,0.750299999996969,1.44479999999695
70,1.6773271868317228,18,169,l2,TRUE,es,f0c,1.2804375,2,exp_g1,31,0.633333333333333,0.550200000002974,1.90386250000456
70,1.6773271868317228,19,170,l2,TRUE,es,f0c,0.82653125,2,exp_g1,31,0.633333333333333,0.546900000005962,1.18836875000592
86,-0.7977531742248436,1,21,l2,TRUE,es,na,0.704021,2,exp_g1,-2,0.633333333333333,0.551800000190724,1.43757900014294
86,-0.7977531742248436,2,22,l2,TRUE,es,na,0.863963,2,exp_g1,-2,0.633333333333333,0.803199999809295,1.19243699985704
86,-0.7977531742248436,3,23,l2,TRUE,es,na,0.806296,2,exp_g1,-2,0.633333333333333,0.959900000095331,1.41130400014308
86,-0.7977531742248436,4,24,l2,TRUE,es,na,0.817267,2,exp_g1,-2,0.633333333333333,0.0839999999999463,2.1345330001907
86,-0.7977531742248436,5,25,l2,TRUE,es,na,0.909694,2,exp_g1,-2,0.633333333333333,0.416099999904645,1.10680599999995
86,-0.7977531742248436,6,26,l2,TRUE,es,na,0.977641,2,exp_g1,-2,0.633333333333333,0.982100000143021,1.07295900014305
86,-0.7977531742248436,7,27,l2,TRUE,es,na,0.619246,2,exp_g1,-2,0.633333333333333,0.554899999856957,1.21825400000003
86,-0.7977531742248436,8,28,l2,TRUE,es,na,0.937816,2,exp_g1,-2,0.633333333333333,0.56039999985694,1.34748399995231
86,-0.7977531742248436,9,29,l2,TRUE,es,na,1.122001,2,exp_g1,-2,0.633333333333333,1.11620000004768,1.42929899995233
