num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp_num,image,image_alt,left_img,right_img,image_dir,cs,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp2_loop.thisRepN,exp2_loop.thisTrialN,exp2_loop.thisN,exp2_loop.thisIndex,exp1_trial_key.started,exp1_trial_sound.started,exp1_trial_key.keys,exp1_key.started,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp1_sound.started,exp2_trial_key.started,exp2_trial_sound.started,exp2_trial_key.keys,exp2_trial_key.rt,exp2_key.started,exp2_sound.started,exp2_key.keys,exp2_key.rt,participant,session,date,expName,psychopyVersion,frameRate,
113.0,l2,f,se,na,../audio/113.wav,,l2_f_se_na_113,,,,,,,../image/america.png,../image/spain.png,,,2,america,spain,,,,1,,,,,,,,,,,,,,,,,,,,,0,8,8,17,,,,,,,,,,,,,451.3617852500174,452.3180882086783,"['rshift', 'lshift']","[1.5604875419521704, 2.850196249957662]",052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
112.0,l2,f,se,na,../audio/112.wav,,l2_f_se_na_112,,,,,,,../image/america.png,../image/spain.png,,,2,america,spain,,,,1,,,,,,,,,,,,,,,,,,,,,0,9,9,16,,,,,,,,,,,,,456.3619032080169,457.32802566665146,['rshift'],[1.4665041669504717],052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
108.0,l2,f,en,na,../audio/108.wav,,l2_f_en_na_108,,,,,,,../image/america.png,../image/spain.png,,,2,america,spain,,,,None,,,,,,,,,,,,,,,,,,,,,0,10,10,12,,,,,,,,,,,,,461.36268137500156,462.3275742916778,None,,052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
124.0,l2,f,sp,na,../audio/124.wav,,l2_f_sp_na_124,,,,,,,../image/america.png,../image/spain.png,,,2,america,spain,,,,None,,,,,,,,,,,,,,,,,,,,,0,11,11,28,,,,,,,,,,,,,466.36407191702165,467.32759374968396,['rshift'],[1.5374175839824602],052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
164.0,l2,t,es,f0c,../audio/164.wav,,l2_t_es_f0c_164,,,,,,,../image/america.png,../image/spain.png,,,2,america,spain,,,,1,,,,,,,,,,,,,,,,,,,,,0,12,12,48,,,,,,,,,,,,,471.3613203749992,472.3181426246922,"['lshift', 'rshift']","[1.8505013330141082, 2.32789341598982]",052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
163.0,l2,t,es,f0c,../audio/163.wav,,l2_t_es_f0c_163,,,,,,,../image/america.png,../image/spain.png,,,2,america,spain,,,,1,,,,,,,,,,,,,,,,,,,,,0,13,13,47,,,,,,,,,,,,,476.3642623749911,477.3275435416765,"['lshift', 'rshift']","[2.0376283749355935, 3.218849541968666]",052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
118.0,l2,f,se,na,../audio/118.wav,,l2_f_se_na_118,,,,,,,../image/america.png,../image/spain.png,,,2,america,spain,,,,1,,,,,,,,,,,,,,,,,,,,,0,14,14,22,,,,,,,,,,,,,481.36156620801194,482.32746066665663,"['lshift', 'rshift']","[2.02696016599657, 2.8057878330000676]",052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
98.0,l2,f,en,na,../audio/098.wav,,l2_f_en_na_098,,,,,,,../image/america.png,../image/spain.png,,,2,america,spain,,,,None,,,,,,,,,,,,,,,,,,,,,0,15,15,2,,,,,,,,,,,,,486.36033304198645,487.32743674965263,['lshift'],[2.4926773330080323],052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
165.0,l2,t,es,f0c,../audio/165.wav,,l2_t_es_f0c_165,,,,,,,../image/america.png,../image/spain.png,,,2,america,spain,,,,1,,,,,,,,,,,,,,,,,,,,,0,16,16,49,,,,,,,,,,,,,491.3609891249798,492.32755916664996,"['lshift', 'rshift']","[1.7254354999749921, 2.3438526659738272]",052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
100.0,l2,f,en,na,../audio/100.wav,,l2_f_en_na_100,,,,,,,../image/america.png,../image/spain.png,,,2,america,spain,,,,None,,,,,,,,,,,,,,,,,,,,,0,17,17,4,,,,,,,,,,,,,496.36385866702767,497.3180799996519,['lshift'],[1.7552250829758123],052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
117.0,l2,f,se,na,../audio/117.wav,,l2_f_se_na_117,,,,,,,../image/america.png,../image/spain.png,,,2,america,spain,,,,1,,,,,,,,,,,,,,,,,,,,,0,18,18,21,,,,,,,,,,,,,501.3629417080083,502.32733758364725,['rshift'],[1.8108237499836832],052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
161.0,l2,t,es,f0c,../audio/161.wav,,l2_t_es_f0c_161,,,,,,,../image/america.png,../image/spain.png,,,2,america,spain,,,,1,,,,,,,,,,,,,,,,,,,,,0,19,19,45,,,,,,,,,,,,,506.3615572080016,507.32774945866936,"['lshift', 'rshift']","[1.8729387909988873, 2.433795332966838]",052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
99.0,l2,f,en,na,../audio/099.wav,,l2_f_en_na_099,,,,,,,../image/america.png,../image/spain.png,,,2,america,spain,,,,None,,,,,,,,,,,,,,,,,,,,,0,20,20,3,,,,,,,,,,,,,511.35908633301733,512.3181164586606,['lshift'],[1.9540312089957297],052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
