num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp_num,image,image_alt,left_img,right_img,image_dir,cs,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp2_loop.thisRepN,exp2_loop.thisTrialN,exp2_loop.thisN,exp2_loop.thisIndex,exp1_trial_key.started,exp1_trial_sound.started,exp1_trial_key.keys,exp1_trial_key.rt,exp1_key.started,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp1_sound.started,exp2_trial_key.started,exp2_trial_sound.started,exp2_trial_key.keys,exp2_trial_key.rt,exp2_key.started,exp2_sound.started,exp2_key.keys,exp2_key.rt,participant,session,date,expName,psychopyVersion,frameRate
91,l1,f,sp,na,../audio/091.wav,,l1_f_sp_na_091,,,,,,,../image/backpack.png,../image/bracelet.png,bracelet,rshift,1,bracelet,backpack,backpack,bracelet,None,,,,,,,,,,0,14,14,30,,,,,,,,,,,,,,,,,78.64381233,lshift,0,2.674347458,79.60636396,,,,,,,,,21,1,2023-04-20_13h33.25.605,exp_g1,2022.2.5,None
11,l1,t,es,na,../audio/011.wav,,l1_t_es_na_011,,,,,,,../image/armchair.png,../image/bed.png,armchair,lshift,1,armchair,bed,armchair,bed,None,,,,,,,,,,0,15,15,35,,,,,,,,,,,,,,,,,81.36991679,lshift,1,3.037137666,82.33336712,,,,,,,,,21,1,2023-04-20_13h33.25.605,exp_g1,2022.2.5,None
93,l1,f,sp,na,../audio/093.wav,,l1_f_sp_na_093,,,,,,,../image/boy.png,../image/book.png,book,rshift,1,book,boy,boy,book,None,,,,,,,,,,0,16,16,32,,,,,,,,,,,,,,,,,84.45605462,rshift,1,2.223684541,85.415803,,,,,,,,,21,1,2023-04-20_13h33.25.605,exp_g1,2022.2.5,None
74,l1,f,en,na,../audio/074.wav,,l1_f_en_na_074,,,,,,,../image/boy.png,../image/woman.png,boy,lshift,1,boy,woman,boy,woman,None,,,,,,,,,,0,17,17,13,,,,,,,,,,,,,,,,,86.728832,lshift,1,1.890186125,87.68909904,,,,,,,,,21,1,2023-04-20_13h33.25.605,exp_g1,2022.2.5,None
18,l1,t,es,na,../audio/018.wav,,l1_t_es_na_018,,,,,,,../image/cups.png,../image/napkins.png,napkins,rshift,1,napkins,cups,cups,napkins,None,,,,,,,,,,0,18,18,42,,,,,,,,,,,,,,,,,88.66676271,rshift,1,3.050142166,89.63252442,,,,,,,,,21,1,2023-04-20_13h33.25.605,exp_g1,2022.2.5,None
69,l1,f,en,na,../audio/069.wav,,l1_f_en_na_069,,,,,,,../image/bag.png,../image/shirt.png,shirt,rshift,1,shirt,bag,bag,shirt,None,,,,,,,,,,0,19,19,8,,,,,,,,,,,,,,,,,91.76306404,rshift,1,2.358858541,92.73240854,,,,,,,,,21,1,2023-04-20_13h33.25.605,exp_g1,2022.2.5,None
70,l1,f,en,na,../audio/070.wav,,l1_f_en_na_070,,,,,,,../image/computer.png,../image/bed.png,computer,lshift,1,computer,bed,computer,bed,None,,,,,,,,,,0,20,20,9,,,,,,,,,,,,,,,,,94.16475508,lshift,1,2.470402167,95.13305233,,,,,,,,,21,1,2023-04-20_13h33.25.605,exp_g1,2022.2.5,None
86,l1,f,sp,na,../audio/086.wav,,l1_f_sp_na_086,,,,,,,../image/plates.png,../image/glasses.png,plates,lshift,1,plates,glasses,plates,glasses,None,,,,,,,,,,0,21,21,25,,,,,,,,,,,,,,,,,96.67968996,lshift,1,2.237794416,97.64952392,,,,,,,,,21,1,2023-04-20_13h33.25.605,exp_g1,2022.2.5,None
67,l1,f,en,na,../audio/067.wav,,l1_f_en_na_067,,,,,,,../image/beer.png,../image/glasses.png,glasses,rshift,1,glasses,beer,beer,glasses,None,,,,,,,,,,0,22,22,6,,,,,,,,,,,,,,,,,98.95970446,rshift,1,2.457005875,99.93280279,,,,,,,,,21,1,2023-04-20_13h33.25.605,exp_g1,2022.2.5,None
12,l1,t,es,na,../audio/012.wav,,l1_t_es_na_012,,,,,,,../image/newspaper.png,../image/book.png,book,rshift,1,book,newspaper,newspaper,book,None,,,,,,,,,,0,23,23,36,,,,,,,,,,,,,,,,,101.4675334,rshift,1,2.772565208,102.432784,,,,,,,,,21,1,2023-04-20_13h33.25.605,exp_g1,2022.2.5,None
14,l1,t,es,na,../audio/014.wav,,l1_t_es_na_014,,,,,,,../image/book.png,../image/key.png,key,rshift,1,key,book,book,key,None,,,,,,,,,,0,24,24,38,,,,,,,,,,,,,,,,,104.2820069,rshift,1,2.329284375,105.2491177,,,,,,,,,21,1,2023-04-20_13h33.25.605,exp_g1,2022.2.5,None
