num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp_num,image,image_alt,left_img,right_img,image_dir,cs,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp2_loop.thisRepN,exp2_loop.thisTrialN,exp2_loop.thisN,exp2_loop.thisIndex,exp1_trial_cross.started,exp1_trial_key.started,exp1_trial_cross.stopped,exp1_trial_sound.started,exp1_trial_key.stopped,exp1_trial_key.keys,exp1_cross.started,exp1_key.started,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp1_cross.stopped,exp1_sound.started,exp1_key.stopped,exp2_trial_cross.started,exp2_trial_key.started,exp2_trial_cross.stopped,exp2_trial_sound.started,exp2_trial_key.stopped,exp2_trial_key.keys,exp2_trial_key.rt,exp2_cross.started,exp2_key.started,exp2_cross.stopped,exp2_sound.started,exp2_key.stopped,exp2_key.keys,exp2_key.rt,participant,session,date,expName,psychopyVersion,frameRate
107,l2,f,en,na,../audio/107.wav,,l2_f_en_na_107,,,,,,,../image/man.png,../image/cat.png,man,lshift,1,man,cat,man,cat,None,,,,,,,,,,0,21,21,11,,,,,,,,,,,,,,,,,,,222.8092823,223.0371851,lshift,1,[2.1293587919790298],223.0530087,223.7966044,,,,,,,,,,,,,,,,28,1,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None
111,l2,f,se,na,../audio/111.wav,,l2_f_se_na_111,,,,,,,../image/mashedpotatoes.png,../image/donut.png,mashedpotatoes,lshift,1,mashedpotatoes,donut,mashedpotatoes,donut,None,,,,,,,,,,0,22,22,15,,,,,,,,,,,,,,,,,,,225.2149657,225.4204282,lshift,1,[2.147882374934852],225.4636149,226.170795,,,,,,,,,,,,,,,,28,1,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None
142,l2,t,es,f0u,../audio/142.wav,,l2_t_es_f0u_142,,,,,,,../image/car.png,../image/truck.png,truck,rshift,1,truck,car,car,truck,None,,,,,,,,,,0,23,23,46,,,,,,,,,,,,,,,,,,,227.6142987,227.8204431,None,0,,227.8635313,228.5799038,232.8425902,,,,,,,,,,,,,,,28,1,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None
110,l2,f,en,na,../audio/110.wav,,l2_f_en_na_110,,,,,,,../image/dog.png,../image/cat.png,cat,rshift,1,cat,dog,dog,cat,None,,,,,,,,,,0,24,24,14,,,,,,,,,,,,,,,,,,,232.8425902,233.0707515,rshift,1,[2.376817832933739],233.0867573,233.8200397,,,,,,,,,,,,,,,,28,1,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None
116,l2,f,se,na,../audio/116.wav,,l2_f_se_na_116,,,,,,,../image/sweatpants.png,../image/boxers.png,boxers,rshift,1,boxers,sweatpants,sweatpants,boxers,None,,,,,,,,,,0,25,25,20,,,,,,,,,,,,,,,,,,,235.497535,235.7037058,rshift,1,[2.902964917011559],235.736527,236.463703,,,,,,,,,,,,,,,,28,1,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None
130,l2,f,sp,na,../audio/130.wav,,l2_f_sp_na_130,,,,,,,../image/socks.png,../image/glasses.png,glasses,rshift,1,glasses,socks,socks,glasses,None,,,,,,,,,,0,26,26,34,,,,,,,,,,,,,,,,,,,238.6512791,238.8536993,rshift,1,[2.2313035000115633],238.8967632,239.618223,,,,,,,,,,,,,,,,28,1,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None
26,l2,t,es,na,../audio/026.wav,,l2_t_es_na_026,,,,,,,../image/village.png,../image/grandma.png,grandma,rshift,1,grandma,village,village,grandma,None,,,,,,,,,,0,27,27,40,,,,,,,,,,,,,,,,,,,241.1311723,241.3367712,rshift,1,[2.318483958952129],241.3800677,242.0968427,,,,,,,,,,,,,,,,28,1,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None
99,l2,f,en,na,../audio/099.wav,,l2_f_en_na_099,,,,,,,../image/dog.png,../image/cat.png,dog,lshift,1,dog,cat,dog,cat,None,,,,,,,,,,0,28,28,3,,,,,,,,,,,,,,,,,,,243.704207,243.903434,lshift,1,[1.4944668329553679],243.9467174,244.6634535,,,,,,,,,,,,,,,,28,1,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None
121,l2,f,sp,na,../audio/121.wav,,l2_f_sp_na_121,,,,,,,../image/shoe.png,../image/glasses.png,shoe,lshift,1,shoe,glasses,shoe,glasses,None,,,,,,,,,,0,29,29,25,,,,,,,,,,,,,,,,,,,245.4444888,245.6533489,lshift,1,[2.0436720410361886],245.6844757,246.4135152,,,,,,,,,,,,,,,,28,1,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None
25,l2,t,es,na,../audio/025.wav,,l2_t_es_na_025,,,,,,,../image/cellphone.png,../image/truck.png,cellphone,lshift,1,cellphone,truck,cellphone,truck,None,,,,,,,,,,0,30,30,39,,,,,,,,,,,,,,,,,,,247.746915,247.9457995,None,0,,247.9968459,248.7027125,252.970993,,,,,,,,,,,,,,,28,1,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None
