num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp_num,image,image_alt,left_img,right_img,image_dir,cs,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp2_loop.thisRepN,exp2_loop.thisTrialN,exp2_loop.thisN,exp2_loop.thisIndex,exp1_trial_cross.started,exp1_trial_key.started,exp1_trial_cross.stopped,exp1_trial_sound.started,exp1_trial_key.keys,exp1_trial_key.rt,exp1_cross.started,exp1_key.started,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp1_cross.stopped,exp1_sound.started,exp2_trial_cross.started,exp2_trial_key.started,exp2_trial_cross.stopped,exp2_trial_sound.started,exp2_trial_key.stopped,exp2_trial_key.keys,exp2_trial_key.rt,exp2_cross.started,exp2_key.started,exp2_cross.stopped,exp2_sound.started,exp2_key.stopped,exp2_key.keys,exp2_key.rt,participant,session,date,expName,psychopyVersion,frameRate
94,l1,f,sp,na,../audio/094.wav,,l1_f_sp_na_094,,,,,,,../image/beer.png,../image/horchata.png,beer,lshift,1,beer,horchata,beer,horchata,None,,,,,,,,,,0,12,12,33,,,,,,,,,,,,,,,,,,,79.29749483,79.5041405,lshift,1,3.014922083,79.53709525,80.26354267,,,,,,,,,,,,,,,70,1,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None
80,l1,f,se,na,../audio/080.wav,,l1_f_se_na_080,,,,,,,../image/mouse.png,../image/rat.png,mouse,lshift,1,mouse,rat,mouse,rat,None,,,,,,,,,,0,13,13,19,,,,,,,,,,,,,,,,,,,82.57028087,82.7808485,rshift,0,2.642374709,82.81411296,83.53660787,,,,,,,,,,,,,,,70,1,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None
87,l1,f,sp,na,../audio/087.wav,,l1_f_sp_na_087,,,,,,,../image/desk.png,../image/bed.png,bed,rshift,1,bed,desk,desk,bed,None,,,,,,,,,,0,14,14,26,,,,,,,,,,,,,,,,,,,85.47811863,85.68065921,rshift,1,3.250724792,85.72026838,86.43659804,,,,,,,,,,,,,,,70,1,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None
74,l1,f,en,na,../audio/074.wav,,l1_f_en_na_074,,,,,,,../image/boy.png,../image/woman.png,boy,lshift,1,boy,woman,boy,woman,None,,,,,,,,,,0,15,15,13,,,,,,,,,,,,,,,,,,,88.98209079,89.18728237,lshift,1,1.89012575,89.23049142,89.94678896,,,,,,,,,,,,,,,70,1,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None
70,l1,f,en,na,../audio/070.wav,,l1_f_en_na_070,,,,,,,../image/computer.png,../image/bed.png,computer,lshift,1,computer,bed,computer,bed,None,,,,,,,,,,0,16,16,9,,,,,,,,,,,,,,,,,,,91.12304842,91.33038983,lshift,1,2.444970167,91.36881063,92.08657842,,,,,,,,,,,,,,,70,1,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None
76,l1,f,se,na,../audio/076.wav,,l1_f_se_na_076,,,,,,,../image/hotdog.png,../image/burger.png,hotdog,lshift,1,hotdog,burger,hotdog,burger,None,,,,,,,,,,0,17,17,15,,,,,,,,,,,,,,,,,,,93.83018346,94.03071533,lshift,1,2.018233584,94.07002,94.78701071,,,,,,,,,,,,,,,70,1,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None
84,l1,f,se,na,../audio/084.wav,,l1_f_se_na_084,,,,,,,../image/penthouse.png,../image/rocket.png,penthouse,lshift,1,penthouse,rocket,penthouse,rocket,None,,,,,,,,,,0,18,18,23,,,,,,,,,,,,,,,,,,,96.10069729,96.30345596,lshift,1,2.471721125,96.34678329,97.06339987,,,,,,,,,,,,,,,70,1,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None
132,l1,t,es,f0u,../audio/132.wav,,l1_t_es_f0u_132,,,,,,,../image/car.png,../image/grandma.png,grandma,rshift,1,grandma,car,car,grandma,None,,,,,,,,,,0,19,19,46,,,,,,,,,,,,,,,,,,,98.82016308,99.02128738,rshift,1,2.336832625,99.06404408,99.78532304,,,,,,,,,,,,,,,70,1,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None
63,l1,f,en,na,../audio/063.wav,,l1_f_en_na_063,,,,,,,../image/woman.png,../image/man.png,man,rshift,1,man,woman,woman,man,None,,,,,,,,,,0,20,20,2,,,,,,,,,,,,,,,,,,,101.3918723,101.6127114,rshift,1,1.976302792,101.634921,102.367869,,,,,,,,,,,,,,,70,1,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None
88,l1,f,sp,na,../audio/088.wav,,l1_f_sp_na_088,,,,,,,../image/book.png,../image/cellphone.png,book,lshift,1,book,cellphone,book,cellphone,None,,,,,,,,,,0,21,21,27,,,,,,,,,,,,,,,,,,,103.6238921,103.8458504,lshift,1,1.987047584,103.8667069,104.6022211,,,,,,,,,,,,,,,70,1,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None
