participant,session,date,expName,psychopyVersion,OS,frameRate,exp1_trial_key.keys,exp1_trial_key.rt,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_trial_loop.ran,num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp1_loop.ran,exp_num,image,image_alt,left_img,right_img,image_dir,exp2_trial_key.keys,exp2_trial_key.rt,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_retrial.ran,exp2_key.keys,exp2_key.rt,exp2_loop.thisRepN,exp2_loop.thisTrialN,exp2_loop.thisN,exp2_loop.thisIndex,exp2_loop.ran,cs
086,001,2023-09-19_11h05.55.100,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,089,l1,f,sp,na,audio/089.wav,,l1_f_sp_na_089,,,,,,,image/bed.png,image/wallet.png,wallet,rshift,lshift,0,2.3883,0,4,4,28,1,1,wallet,bed,bed,wallet,,,,,,,,,,,,,,,,
086,001,2023-09-19_11h05.55.100,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,082,l1,f,se,na,audio/082.wav,,l1_f_se_na_082,,,,,,,image/mickeymouse.png,image/spongebob.png,mickeymouse,lshift,lshift,1,2.1188,0,5,5,21,1,1,mickeymouse,spongebob,mickeymouse,spongebob,,,,,,,,,,,,,,,,
086,001,2023-09-19_11h05.55.100,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,017,l1,t,es,na,audio/017.wav,,l1_t_es_na_017,,,,,,,image/jug.png,image/cat.png,jug,lshift,lshift,1,2.9827,0,6,6,41,1,1,jug,cat,jug,cat,,,,,,,,,,,,,,,,
086,001,2023-09-19_11h05.55.100,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,013,l1,t,es,na,audio/013.wav,,l1_t_es_na_013,,,,,,,image/beer.png,image/wine.png,beer,lshift,lshift,1,3.3428,0,7,7,37,1,1,beer,wine,beer,wine,,,,,,,,,,,,,,,,
086,001,2023-09-19_11h05.55.100,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,067,l1,f,en,na,audio/067.wav,,l1_f_en_na_067,,,,,,,image/beer.png,image/glasses.png,glasses,rshift,rshift,1,2.23,0,8,8,6,1,1,glasses,beer,beer,glasses,,,,,,,,,,,,,,,,
086,001,2023-09-19_11h05.55.100,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,019,l1,t,es,na,audio/019.wav,,l1_t_es_na_019,,,,,,,image/boy.png,image/dog.png,boy,lshift,lshift,1,2.7747,0,9,9,43,1,1,boy,dog,boy,dog,,,,,,,,,,,,,,,,
086,001,2023-09-19_11h05.55.100,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,064,l1,f,en,na,audio/064.wav,,l1_f_en_na_064,,,,,,,image/wallet.png,image/key.png,wallet,lshift,lshift,1,1.7092,0,10,10,3,1,1,wallet,key,wallet,key,,,,,,,,,,,,,,,,
086,001,2023-09-19_11h05.55.100,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,134,l1,t,es,f0u,audio/134.wav,,l1_t_es_f0u_134,,,,,,,image/basket.png,image/truck.png,truck,rshift,rshift,1,3.1593,0,11,11,48,1,1,truck,basket,basket,truck,,,,,,,,,,,,,,,,
086,001,2023-09-19_11h05.55.100,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,138,l1,t,es,f0u,audio/138.wav,,l1_t_es_f0u_138,,,,,,,image/pants.png,image/shirt.png,shirt,rshift,rshift,1,2.3275,0,12,12,52,1,1,shirt,pants,pants,shirt,,,,,,,,,,,,,,,,
086,001,2023-09-19_11h05.55.100,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,076,l1,f,se,na,audio/076.wav,,l1_f_se_na_076,,,,,,,image/hotdog.png,image/burger.png,hotdog,lshift,lshift,1,2.0078,0,13,13,15,1,1,hotdog,burger,hotdog,burger,,,,,,,,,,,,,,,,
