participant,session,date,expName,psychopyVersion,OS,frameRate,exp1_trial_key.keys,exp1_trial_key.rt,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_trial_loop.ran,num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp1_loop.ran,exp_num,image,image_alt,left_img,right_img,image_dir,exp2_trial_key.keys,exp2_trial_key.rt,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp2_trial_loop.ran,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_retrial.ran,exp2_key.keys,exp2_key.rt,exp2_loop.thisRepN,exp2_loop.thisTrialN,exp2_loop.thisN,exp2_loop.thisIndex,exp2_loop.ran,cs
075,001,2023-10-12_11h13.11.698,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,tr8,lt,tr,es,na,practice_trial/audio/tr8.wav,Where did you find his chanclas?,lt_tr_es_na_tr8,-,-,-,-,-,-,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,"[""lshift"",""rshift""]","[1.2374999999999545,1.950400000000343]",0,7,7,7,1,,,,,,,,,,,,,
075,001,2023-10-12_11h13.11.698,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
075,001,2023-10-12_11h13.11.698,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,144,l2,t,es,f0u,audio/144.wav,,l2_t_es_f0u_144,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""lshift"",""rshift""]","[1.294799999999782,2.250499999999988]",0,0,0,48,1,1
075,001,2023-10-12_11h13.11.698,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,089,l1,f,sp,na,audio/089.wav,,l1_f_sp_na_089,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""rshift"",""rshift""]","[1.2196999999997047,2.3168999999999187]",0,1,1,28,1,
075,001,2023-10-12_11h13.11.698,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,146,l2,t,es,f0u,audio/146.wav,,l2_t_es_f0u_146,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""lshift"",""rshift""]","[1.305799999999806,2.8511999999997215]",0,2,2,50,1,1
075,001,2023-10-12_11h13.11.698,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,082,l1,f,se,na,audio/082.wav,,l1_f_se_na_082,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""rshift"",""lshift""]","[1.8009000000004107,2.600700000000188]",0,3,3,21,1,1
075,001,2023-10-12_11h13.11.698,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,066,l1,f,en,na,audio/066.wav,,l1_f_en_na_066,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""lshift"",""rshift"",""rshift"",""lshift""]","[1.3343999999999028,2.2226999999996906,3.517799999999795,3.804499999999962]",0,4,4,5,1,
075,001,2023-10-12_11h13.11.698,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,074,l1,f,en,na,audio/074.wav,,l1_f_en_na_074,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""lshift""]",[1.433799999999792],0,5,5,13,1,
075,001,2023-10-12_11h13.11.698,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,076,l1,f,se,na,audio/076.wav,,l1_f_se_na_076,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""rshift"",""lshift""]","[1.2232999999998242,2.4348999999999137]",0,6,6,15,1,1
075,001,2023-10-12_11h13.11.698,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,095,l1,f,sp,na,audio/095.wav,,l1_f_sp_na_095,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""rshift""]",[1.4056000000001063],0,7,7,34,1,
075,001,2023-10-12_11h13.11.698,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,068,l1,f,en,na,audio/068.wav,,l1_f_en_na_068,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""lshift""]",[1.398900000000424],0,8,8,7,1,
075,001,2023-10-12_11h13.11.698,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,084,l1,f,se,na,audio/084.wav,,l1_f_se_na_084,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""rshift"",""lshift""]","[1.3916000000000963,2.9713999999999032]",0,9,9,23,1,1
075,001,2023-10-12_11h13.11.698,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,015,l1,t,es,na,audio/015.wav,,l1_t_es_na_015,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""lshift"",""rshift""]","[1.7004999999999768,3.1170999999996525]",0,10,10,39,1,1
075,001,2023-10-12_11h13.11.698,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,011,l1,t,es,na,audio/011.wav,,l1_t_es_na_011,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""lshift"",""rshift""]","[2.3683999999998946,2.8512000000001763]",0,11,11,35,1,1
075,001,2023-10-12_11h13.11.698,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,090,l1,f,sp,na,audio/090.wav,,l1_f_sp_na_090,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""rshift""]",[2.1832999999998037],0,12,12,29,1,
075,001,2023-10-12_11h13.11.698,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,143,l2,t,es,f0u,audio/143.wav,,l2_t_es_f0u_143,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""lshift"",""rshift""]","[1.533699999999726,3.1345999999996366]",0,13,13,47,1,1
075,001,2023-10-12_11h13.11.698,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,067,l1,f,en,na,audio/067.wav,,l1_f_en_na_067,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""lshift""]",[2.4536000000000513],0,14,14,6,1,
075,001,2023-10-12_11h13.11.698,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,079,l1,f,se,na,audio/079.wav,,l1_f_se_na_079,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""rshift"",""lshift"",""rshift""]","[2.0674999999999955,3.334599999999682,4.301000000000045]",0,15,15,18,1,1
075,001,2023-10-12_11h13.11.698,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,013,l1,t,es,na,audio/013.wav,,l1_t_es_na_013,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""lshift"",""rshift""]","[4.033600000000092,4.582300000000259]",0,16,16,37,1,1
075,001,2023-10-12_11h13.11.698,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,014,l1,t,es,na,audio/014.wav,,l1_t_es_na_014,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""lshift"",""rshift""]","[2.1340000000000146,2.5868999999999005]",0,17,17,38,1,1
075,001,2023-10-12_11h13.11.698,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,064,l1,f,en,na,audio/064.wav,,l1_f_en_na_064,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""lshift""]",[1.1676000000001068],0,18,18,3,1,
075,001,2023-10-12_11h13.11.698,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,071,l1,f,en,na,audio/071.wav,,l1_f_en_na_071,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""lshift""]",[1.5874999999999773],0,19,19,10,1,
075,001,2023-10-12_11h13.11.698,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,020,l1,t,es,na,audio/020.wav,,l1_t_es_na_020,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""lshift"",""rshift""]","[2.4017999999998665,3.134100000000103]",0,20,20,44,1,1
075,001,2023-10-12_11h13.11.698,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,141,l2,t,es,f0u,audio/141.wav,,l2_t_es_f0u_141,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""lshift"",""rshift""]","[3.2353999999999132,3.7843999999998914]",0,21,21,45,1,1
075,001,2023-10-12_11h13.11.698,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,083,l1,f,se,na,audio/083.wav,,l1_f_se_na_083,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""rshift"",""lshift"",""rshift""]","[2.1761000000000195,2.8177000000001726,3.3191000000000486]",0,22,22,22,1,1
075,001,2023-10-12_11h13.11.698,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,065,l1,f,en,na,audio/065.wav,,l1_f_en_na_065,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""lshift""]",[1.8730999999996811],0,23,23,4,1,
075,001,2023-10-12_11h13.11.698,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,070,l1,f,en,na,audio/070.wav,,l1_f_en_na_070,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""lshift""]",[2.857199999999807],0,24,24,9,1,
075,001,2023-10-12_11h13.11.698,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,061,l1,f,en,na,audio/061.wav,,l1_f_en_na_061,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""lshift""]",[2.0515000000000327],0,25,25,0,1,
075,001,2023-10-12_11h13.11.698,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,086,l1,f,sp,na,audio/086.wav,,l1_f_sp_na_086,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""rshift""]",[2.16700000000003],0,26,26,25,1,
075,001,2023-10-12_11h13.11.698,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,088,l1,f,sp,na,audio/088.wav,,l1_f_sp_na_088,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""rshift""]",[2.083799999999769],0,27,27,27,1,
075,001,2023-10-12_11h13.11.698,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,148,l2,t,es,f0u,audio/148.wav,,l2_t_es_f0u_148,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""lshift"",""rshift""]","[2.190299999999752,2.6016999999997097]",0,28,28,52,1,1
